age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference
219,228.4,209.5,695,mean,348,1390,1,skew_normal,paleosols,"Prochnow et al., 2006"
232.7,237,228.4,116,mean,58,232,1,skew_normal,paleosols,"Prochnow et al., 2006"
246.1,247.1,245,580,mean,290,1160,1,skew_normal,paleosols,"Prochnow et al., 2006"
246.1,247.1,245,300,mean,150,600,1,skew_normal,paleosols,"Prochnow et al., 2006"
92.2,93,91.3,772,mean,386,1544,1,skew_normal,paleosols,"Sandler, 2006"
300.2,,,882,mean,282,1347,1,skew_normal,paleosols,"Monta_ez et al., 2007"
299.9,,,697,mean,185,1102,1,skew_normal,paleosols,"Monta_ez et al., 2007"
299.7,,,399,mean,88,650,1,skew_normal,paleosols,"Monta_ez et al., 2007"
298.6,,,515,mean,0,996,1,skew_normal,paleosols,"Monta_ez et al., 2007"
297.9,,,288,mean,0,878,1,skew_normal,paleosols,"Monta_ez et al., 2007"
296.6,,,65,mean,0,304,1,skew_normal,paleosols,"Monta_ez et al., 2007"
295.9,,,47,mean,0,210,1,skew_normal,paleosols,"Monta_ez et al., 2007"
294.3,,,50,mean,0,271,1,skew_normal,paleosols,"Monta_ez et al., 2007"
293.1,,,208,mean,0,468,1,skew_normal,paleosols,"Monta_ez et al., 2007"
290.5,,,600,mean,234,966,1,skew_normal,paleosols,"Monta_ez et al., 2007"
290.5,,,461,mean,144,678,1,skew_normal,paleosols,"Monta_ez et al., 2007"
290.4,,,1700,mean,530,2497,1,skew_normal,paleosols,"Monta_ez et al., 2007"
290.4,,,419,mean,131,616,1,skew_normal,paleosols,"Monta_ez et al., 2007"
290.2,,,411,mean,96,538,1,skew_normal,paleosols,"Monta_ez et al., 2007"
289.9,,,620,mean,102,770,1,skew_normal,paleosols,"Monta_ez et al., 2007"
289.4,,,182,mean,11,353,1,skew_normal,paleosols,"Monta_ez et al., 2007"
288.9,,,183,mean,24,342,1,skew_normal,paleosols,"Monta_ez et al., 2007"
287.4,,,397,mean,249,544,1,skew_normal,paleosols,"Monta_ez et al., 2007"
287,,,1030,mean,676,1396,1,skew_normal,paleosols,"Monta_ez et al., 2007"
286.9,,,1449,mean,899,1999,1,skew_normal,paleosols,"Monta_ez et al., 2007"
285.8,,,774,mean,465,1084,1,skew_normal,paleosols,"Monta_ez et al., 2007"
285,,,792,mean,460,1124,1,skew_normal,paleosols,"Monta_ez et al., 2007"
284.8,,,792,mean,460,1124,1,skew_normal,paleosols,"Monta_ez et al., 2007"
284.5,,,824,mean,480,1168,1,skew_normal,paleosols,"Monta_ez et al., 2007"
283.8,,,1012,mean,604,1419,1,skew_normal,paleosols,"Monta_ez et al., 2007"
283.4,,,1100,mean,679,1520,1,skew_normal,paleosols,"Monta_ez et al., 2007"
282.4,,,899,mean,566,1233,1,skew_normal,paleosols,"Monta_ez et al., 2007"
281.1,,,1248,mean,759,1737,1,skew_normal,paleosols,"Monta_ez et al., 2007"
277.6,,,1237,mean,788,1685,1,skew_normal,paleosols,"Monta_ez et al., 2007"
210.7,211.9,209.5,111,mean,56,222,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,544,mean,272,1088,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,643,mean,322,1287,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,13,mean,6,25,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,45,mean,23,90,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,372,mean,186,743,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1667,mean,833,3333,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1702,mean,851,3404,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1596,mean,798,3192,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,344,mean,172,688,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,269,mean,134,537,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,377,mean,189,754,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1443,mean,721,2885,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1191,mean,596,2383,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1349,mean,674,2697,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1678,mean,839,3356,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1295,mean,648,2591,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1516,mean,758,3032,1,skew_normal,paleosols,"Cleveland et al., 2008"
210.7,211.9,209.5,560,mean,280,1119,1,skew_normal,paleosols,"Cleveland et al., 2008"
211.8,214,209.5,1367,mean,684,2735,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1777,mean,888,3553,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1702,mean,851,3404,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1085,mean,542,2169,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1191,mean,596,2383,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,863,mean,431,1725,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,661,mean,331,1322,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1030,mean,515,2060,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,513,mean,257,1026,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,623,mean,311,1245,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1557,mean,778,3113,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1202,mean,601,2404,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1967,mean,983,3933,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1783,mean,891,3565,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,880,mean,440,1759,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,843,mean,422,1686,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1619,mean,809,3237,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1214,mean,607,2427,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,614,mean,307,1227,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1267,mean,634,2534,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,773,mean,387,1546,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,341,mean,171,682,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,961,mean,481,1922,1,skew_normal,paleosols,"Cleveland et al., 2008"
205.4,209.5,201.3,1171,mean,586,2342,1,skew_normal,paleosols,"Cleveland et al., 2008"
12.8,,,273,mean,193,354,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
13.1,,,370,mean,187,553,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
13.8,,,190,mean,143,237,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
14.4,,,132,mean,86,178,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
14.7,,,74,mean,50,97,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
15.1,,,182,mean,131,233,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
15.6,,,473,mean,425,521,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
16,,,333,mean,281,385,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
16.1,,,289,mean,231,346,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)"
95.3,100.5,90,1307,mean,654,2614,1,skew_normal,paleosols,"Leier et al., 2009"
113.4,126.3,100.5,591,mean,296,1182,1,skew_normal,paleosols,"Leier et al., 2009"
200.4,,,1664,mean,832,3328,1,skew_normal,paleosols,"Schaller et al., 2011"
200.5,,,2087,mean,1044,4175,1,skew_normal,paleosols,"Schaller et al., 2011"
200.9,,,3515,mean,1758,7031,1,skew_normal,paleosols,"Schaller et al., 2011"
200.9,,,3294,mean,1647,6588,1,skew_normal,paleosols,"Schaller et al., 2011"
200.9,,,1299,mean,650,2599,1,skew_normal,paleosols,"Schaller et al., 2011"
201,,,1571,mean,785,3141,1,skew_normal,paleosols,"Schaller et al., 2011"
201.1,,,2472,mean,1236,4944,1,skew_normal,paleosols,"Schaller et al., 2011"
201.1,,,1761,mean,881,3523,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2307,mean,1153,4613,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2009,mean,1005,4019,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2438,mean,1219,4876,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2677,mean,1338,5353,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2700,mean,1350,5400,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2713,mean,1357,5427,1,skew_normal,paleosols,"Schaller et al., 2011"
201.2,,,2823,mean,1411,5645,1,skew_normal,paleosols,"Schaller et al., 2011"
201.3,,,2302,mean,1151,4604,1,skew_normal,paleosols,"Schaller et al., 2011"
