age,co2,co2_low,co2_high,xi_co2,omega_co2,alpha_co2
10,251,231,318,321.4347873,64.36901077,-2.164820668
11,223,206,280,282.9303564,54.75689335,-2.16603475
11,246,227,311,314.5534628,62.31733594,-2.193938987
11,228,210,287,289.8099079,56.80741514,-2.134764009
11,238,220,300,303.456663,59.40115179,-2.203430567
11,510,425,575,451.4253513,89.91524865,0.919867421
11,220,203,277,279.9303564,54.75689335,-2.16603475
11,232,214,293,296.2420974,58.53723728,-2.180812076
11,211,194,266,268.4966467,53.0260867,-2.11685885
11,204,188,255,257.1826637,49.24429508,-2.096509425
12,225,207,284,286.8099079,56.80741514,-2.134764009
12,245,226,310,313.5534628,62.31733594,-2.193938987
12,213,196,268,270.4966467,53.0260867,-2.11685885
12,202,186,254,256.401052,50.11068569,-2.123076038
12,208,191,261,263.0580187,51.29212414,-2.066361129
12,213,196,269,271.7140813,53.89186475,-2.141605747
13,218,200,277,279.8099079,56.80741514,-2.134764009
13,210,193,264,266.2779841,52.15952042,-2.091781711
13,203,186,255,256.8366691,50.42385273,-2.040582959
13,224,206,283,285.8099079,56.80741514,-2.134764009
13,211,194,265,267.2779841,52.15952042,-2.091781711
13,228,210,287,289.8099079,56.80741514,-2.134764009
13,420,375,500,490.2507997,82.39009727,-1.339498283
13,205,189,258,260.6181542,50.97624937,-2.149273401
13,225,208,283,286.1455349,55.62120853,-2.190157423
13,230,212,291,294.2420974,58.53723728,-2.180812076
13,229,211,288,290.8099079,56.80741514,-2.134764009
13,220,203,277,279.9303564,54.75689335,-2.16603475
13,223,206,280,282.9303564,54.75689335,-2.16603475
13,223,206,280,282.9303564,54.75689335,-2.16603475
14,203,187,254,256.1826637,49.24429508,-2.096509425
14,189,173,237,238.5189137,46.63967754,-2.014432014
14,213,196,269,271.7140813,53.89186475,-2.141605747
14,231,213,292,295.2420974,58.53723728,-2.180812076
14,220,202,278,280.5921733,55.94144396,-2.111315143
15,205,189,257,259.401052,50.11068569,-2.123076038
15,236,217,298,300.9056485,59.72291001,-2.128621455
15,229,212,289,292.5728294,57.34783055,-2.237526549
15,220,202,277,279.3732637,55.07471985,-2.087569168
