"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","xi_co2","omega_co2","alpha_co2"
"123",242.1,247.1,237,605,"mean",303,1210,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",1164.84567475029,614.822523677078,-1.49157221412061
"124",279.4,298.9,259.8,358,"mean",179,715,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",687.787508420458,362.979221835237,-1.48592391703739
"125",219,228.4,209.5,880,"mean",440,1760,1,"skew_normal","paleosols","Prochnow et al., 2006",1693.80216471361,894.45506174969,-1.48947322328285
"126",219,228.4,209.5,695,"mean",348,1390,1,"skew_normal","paleosols","Prochnow et al., 2006",1338.07546783035,706.300894998663,-1.49130020879745
"127",232.7,237,228.4,116,"mean",58,232,1,"skew_normal","paleosols","Prochnow et al., 2006",223.273921712248,117.905439957914,-1.48947322328285
"128",246.1,247.1,245,580,"mean",290,1160,1,"skew_normal","paleosols","Prochnow et al., 2006",1116.36960856124,589.527199789568,-1.48947322328285
"129",246.1,247.1,245,300,"mean",150,600,1,"skew_normal","paleosols","Prochnow et al., 2006",577.432556152366,304.927861960122,-1.48947322328285
"130",92.2,93,91.3,772,"mean",386,1544,1,"skew_normal","paleosols","Sandler, 2006",1485.92644449875,784.681031444046,-1.48947322328285
"131",300.2,NA,NA,882,"mean",282,1347,1,"skew_normal","paleosols","Monta_ez et al., 2007",475.679917616755,635.059524468938,0.899172750509377
"132",299.9,NA,NA,697,"mean",185,1102,1,"skew_normal","paleosols","Monta_ez et al., 2007",360.097023116778,542.293733738816,0.866738004705088
"133",299.7,NA,NA,399,"mean",88,650,1,"skew_normal","paleosols","Monta_ez et al., 2007",200.614462404423,329.545148836035,0.833808516565686
"134",298.6,NA,NA,515,"mean",0,996,1,"skew_normal","paleosols","Monta_ez et al., 2007",296.344720124922,540.129052532189,0.529525388937551
"135",297.9,NA,NA,288,"mean",0,878,1,"skew_normal","paleosols","Monta_ez et al., 2007",838.573443163921,598.058509162796,-1.51994309439293
"136",296.6,NA,NA,65,"mean",0,304,1,"skew_normal","paleosols","Monta_ez et al., 2007",319.689242760639,227.535449449541,-2.29536991692374
