age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
211.8,214,209.5,643,mean,322,1287,1,skew_normal,paleosols,"Cleveland et al., 2008",1239.268238,654.3476417,-1.49341982
210.7,211.9,209.5,13,mean,6,25,1,skew_normal,paleosols,"Cleveland et al., 2008",23.33934137,12.4070226,-1.292724684
210.7,211.9,209.5,45,mean,23,90,1,skew_normal,paleosols,"Cleveland et al., 2008",86.96907071,45.62262878,-1.517986507
210.7,211.9,209.5,372,mean,186,743,1,skew_normal,paleosols,"Cleveland et al., 2008",714.734374,377.209195,-1.486057676
211.8,214,209.5,1667,mean,833,3333,1,skew_normal,paleosols,"Cleveland et al., 2008",3206.961389,1693.596383,-1.487950893
211.8,214,209.5,1702,mean,851,3404,1,skew_normal,paleosols,"Cleveland et al., 2008",3275.967369,1729.957404,-1.489473223
211.8,214,209.5,1596,mean,798,3192,1,skew_normal,paleosols,"Cleveland et al., 2008",3071.941199,1622.216226,-1.489473223
210.7,211.9,209.5,344,mean,172,688,1,skew_normal,paleosols,"Cleveland et al., 2008",662.1226644,349.650615,-1.489473223
210.7,211.9,209.5,269,mean,134,537,1,skew_normal,paleosols,"Cleveland et al., 2008",516.1241342,272.6317996,-1.480038801
210.7,211.9,209.5,377,mean,189,754,1,skew_normal,paleosols,"Cleveland et al., 2008",725.9968096,383.0772891,-1.492843299
211.8,214,209.5,1443,mean,721,2885,1,skew_normal,paleosols,"Cleveland et al., 2008",2775.811701,1465.916891,-1.487714576
211.8,214,209.5,1191,mean,596,2383,1,skew_normal,paleosols,"Cleveland et al., 2008",2294.04539,1211.349373,-1.491603937
211.8,214,209.5,1349,mean,674,2697,1,skew_normal,paleosols,"Cleveland et al., 2008",2594.882809,1370.372816,-1.48759203
211.8,214,209.5,1678,mean,839,3356,1,skew_normal,paleosols,"Cleveland et al., 2008",3229.772764,1705.563175,-1.489473223
211.8,214,209.5,1295,mean,648,2591,1,skew_normal,paleosols,"Cleveland et al., 2008",2494.222042,1317.057714,-1.491432823
211.8,214,209.5,1516,mean,758,3032,1,skew_normal,paleosols,"Cleveland et al., 2008",2917.959184,1540.902129,-1.489473223
210.7,211.9,209.5,560,mean,280,1119,1,skew_normal,paleosols,"Cleveland et al., 2008",1076.592221,568.2973759,-1.487205364
211.8,214,209.5,1367,mean,684,2735,1,skew_normal,paleosols,"Cleveland et al., 2008",2632.805876,1390.240411,-1.491329611
205.4,209.5,201.3,1777,mean,888,3553,1,skew_normal,paleosols,"Cleveland et al., 2008",3418.686677,1805.403275,-1.488045129
205.4,209.5,201.3,1702,mean,851,3404,1,skew_normal,paleosols,"Cleveland et al., 2008",3275.967369,1729.957404,-1.489473223
205.4,209.5,201.3,1085,mean,542,2169,1,skew_normal,paleosols,"Cleveland et al., 2008",2086.742071,1102.036254,-1.487134296
205.4,209.5,201.3,1191,mean,596,2383,1,skew_normal,paleosols,"Cleveland et al., 2008",2294.04539,1211.349373,-1.491603937
205.4,209.5,201.3,863,mean,431,1725,1,skew_normal,paleosols,"Cleveland et al., 2008",1659.441863,876.3895795,-1.486532615
205.4,209.5,201.3,661,mean,331,1322,1,skew_normal,paleosols,"Cleveland et al., 2008",1272.633102,671.7423996,-1.491394254
205.4,209.5,201.3,1030,mean,515,2060,1,skew_normal,paleosols,"Cleveland et al., 2008",1982.518443,1046.918993,-1.489473223
205.4,209.5,201.3,513,mean,257,1026,1,skew_normal,paleosols,"Cleveland et al., 2008",987.7663212,521.311295,-1.491949005
205.4,209.5,201.3,623,mean,311,1245,1,skew_normal,paleosols,"Cleveland et al., 2008",1197.495598,632.4471833,-1.485399769
205.4,209.5,201.3,1557,mean,778,3113,1,skew_normal,paleosols,"Cleveland et al., 2008",2995.236097,1581.78949,-1.487843342
205.4,209.5,201.3,1202,mean,601,2404,1,skew_normal,paleosols,"Cleveland et al., 2008",2313.579775,1221.7443,-1.489473223
205.4,209.5,201.3,1967,mean,983,3933,1,skew_normal,paleosols,"Cleveland et al., 2008",3784.39399,1998.524267,-1.488183075
205.4,209.5,201.3,1783,mean,891,3565,1,skew_normal,paleosols,"Cleveland et al., 2008",3430.235329,1811.501832,-1.488049935
205.4,209.5,201.3,880,mean,440,1759,1,skew_normal,paleosols,"Cleveland et al., 2008",1692.520361,893.5538007,-1.488030515
205.4,209.5,201.3,843,mean,422,1686,1,skew_normal,paleosols,"Cleveland et al., 2008",1622.942226,856.7319886,-1.490979269
205.4,209.5,201.3,1619,mean,809,3237,1,skew_normal,paleosols,"Cleveland et al., 2008",3114.572171,1644.807921,-1.487905759
205.4,209.5,201.3,1214,mean,607,2427,1,skew_normal,paleosols,"Cleveland et al., 2008",2335.395312,1233.040172,-1.488427604
205.4,209.5,201.3,614,mean,307,1227,1,skew_normal,paleosols,"Cleveland et al., 2008",1180.5301,623.1844004,-1.487404982
205.4,209.5,201.3,1267,mean,634,2534,1,skew_normal,paleosols,"Cleveland et al., 2008",2439.046955,1287.696724,-1.490475076
205.4,209.5,201.3,773,mean,387,1546,1,skew_normal,paleosols,"Cleveland et al., 2008",1488.20795,785.5821477,-1.491115738
205.4,209.5,201.3,341,mean,171,682,1,skew_normal,paleosols,"Cleveland et al., 2008",656.7048686,346.485929,-1.493199601
205.4,209.5,201.3,961,mean,481,1922,1,skew_normal,paleosols,"Cleveland et al., 2008",1850.065716,976.6702896,-1.490794248
205.4,209.5,201.3,1171,mean,586,2342,1,skew_normal,paleosols,"Cleveland et al., 2008",2254.268529,1190.119804,-1.490557243
12.8,NA,NA,273,mean,193,354,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",291.842535,83.00576215,-0.28824328
13.1,NA,NA,370,mean,187,553,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",370.5265691,184.0206128,-0.003586335
13.8,NA,NA,190,mean,143,237,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",189.7803906,47.26244147,0.005823719
14.4,NA,NA,132,mean,86,178,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",131.8557583,46.25658296,0.003908228
14.7,NA,NA,74,mean,50,97,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",65.39413674,24.98971943,0.445007
15.1,NA,NA,182,mean,131,233,1,skew_normal,paleosols,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",181.8654775,51.28439954,0.003287543
