"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","meanlog_co2","sdlog_co2"
"145",290.4,NA,NA,1700,"mean",530,2497,1,"skew_normal","paleosols","Monta_ez et al., 2007",7.04786114841297,0.779303130832884
"146",290.4,NA,NA,419,"mean",131,616,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.64922214336734,0.778338462829526
"147",290.2,NA,NA,411,"mean",96,538,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.42610337581481,0.866557748595182
"148",289.9,NA,NA,620,"mean",102,770,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.635681664066,1.0163415342634
"149",289.4,NA,NA,182,"mean",11,353,1,"skew_normal","paleosols","Monta_ez et al., 2007",4.13218166486583,1.74395157537473
"150",288.9,NA,NA,183,"mean",24,342,1,"skew_normal","paleosols","Monta_ez et al., 2007",4.50643228370528,1.33578151049474
"151",287.4,NA,NA,397,"mean",249,544,1,"skew_normal","paleosols","Monta_ez et al., 2007",5.90820107166032,0.392925815957557
"152",287,NA,NA,1030,"mean",676,1396,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.87877967968264,0.364607299878179
"153",286.9,NA,NA,1449,"mean",899,1999,1,"skew_normal","paleosols","Monta_ez et al., 2007",7.20084268448601,0.40178639715214
"154",285.8,NA,NA,774,"mean",465,1084,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.56522529379347,0.425546315586759
"155",285,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.57793775996839,0.449200793746463
"156",284.8,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.57793775996839,0.449200793746463
"157",284.5,NA,NA,824,"mean",480,1168,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.61841713364506,0.447108959816386
"158",283.8,NA,NA,1012,"mean",604,1419,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.83064093754743,0.429446783843873
"159",283.4,NA,NA,1100,"mean",679,1520,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.92354337069951,0.405167730020225
"160",282.4,NA,NA,899,"mean",566,1233,1,"skew_normal","paleosols","Monta_ez et al., 2007",6.72789979068376,0.391475314393448
