"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","meanlog_co2","sdlog_co2"
"399",207.8,NA,NA,2505.333333,"mean",1539,3472,1,"normal","paleosols","Schaller et al., 2015",7.74568710480956,0.409066062866011
"400",207.9,NA,NA,2508.4,"mean",1519,3497,1,"normal","paleosols","Schaller et al., 2015",7.74273411982958,0.419250150532381
"401",208.1,NA,NA,2953.133333,"mean",1575,4331,1,"normal","paleosols","Schaller et al., 2015",7.86778214623718,0.508590261605648
"402",208.3,NA,NA,2953.133333,"mean",1764,4142,1,"normal","paleosols","Schaller et al., 2015",7.90213663926113,0.429175945910195
"403",208.4,NA,NA,2831.733333,"mean",1713,3950,1,"normal","paleosols","Schaller et al., 2015",7.86373617810964,0.420062716419147
"404",209.2,NA,NA,3191.066667,"mean",1878,4504,1,"normal","paleosols","Schaller et al., 2015",7.97534191479387,0.439816770936499
"405",210,NA,NA,2756,"mean",1664,3848,1,"normal","paleosols","Schaller et al., 2015",7.83614421658338,0.421500600758786
"406",210.3,NA,NA,2295.533333,"mean",1437,3154,1,"normal","paleosols","Schaller et al., 2015",7.663369826801,0.39524744824118
"407",210.8,NA,NA,2605.6,"mean",1579,3632,1,"normal","paleosols","Schaller et al., 2015",7.78104287698841,0.418816995435213
"408",211.6,NA,NA,1623.4,"mean",1047,2200,1,"normal","paleosols","Schaller et al., 2015",7.32494842510847,0.373333270826541
"409",211.6,NA,NA,2236.6,"mean",1367,3106,1,"normal","paleosols","Schaller et al., 2015",7.63073242021629,0.412645513119019
"410",211.9,NA,NA,1942.266667,"mean",1220,2664,1,"normal","paleosols","Schaller et al., 2015",7.49709508469379,0.392665143048724
"411",213.1,NA,NA,2635.6,"mean",1574,3697,1,"normal","paleosols","Schaller et al., 2015",7.78832619395699,0.429330162883921
"412",215,NA,NA,3194.333333,"mean",1873,4516,1,"normal","paleosols","Schaller et al., 2015",7.97533931385682,0.442494970216771
"413",215,NA,NA,3087.8,"mean",1803,4373,1,"normal","paleosols","Schaller et al., 2015",7.94020588730812,0.445467496999431
"414",215.1,NA,NA,3123.2,"mean",1826,4420,1,"normal","paleosols","Schaller et al., 2015",7.95188901811333,0.444469257493116
"415",215.2,NA,NA,3722.4,"mean",2095,5350,1,"normal","paleosols","Schaller et al., 2015",8.11608033612315,0.471383968774908
"416",215.3,NA,NA,3395.733333,"mean",1939,4853,1,"normal","paleosols","Schaller et al., 2015",8.02864000232393,0.461268752378656
"417",215.4,NA,NA,3218.066667,"mean",1867,4569,1,"normal","paleosols","Schaller et al., 2015",7.9795688925525,0.449974560578139
"418",215.6,NA,NA,3113.6,"mean",1808,4419,1,"normal","paleosols","Schaller et al., 2015",7.94682262304143,0.449336356656001
"419",215.6,NA,NA,3132.333333,"mean",1844,4420,1,"normal","paleosols","Schaller et al., 2015",7.95679368959414,0.439537252263309
"420",215.7,NA,NA,3240.6,"mean",1884,4597,1,"normal","paleosols","Schaller et al., 2015",7.98715582547127,0.448488948466496
"421",216,NA,NA,2470.2,"mean",1505,3436,1,"normal","paleosols","Schaller et al., 2015",7.72930573014356,0.415057852051363
"422",216.2,NA,NA,2767,"mean",1582,3952,1,"normal","paleosols","Schaller et al., 2015",7.82421110359768,0.460317086323027
"423",218.2,NA,NA,3183.266667,"mean",1806,4561,1,"normal","paleosols","Schaller et al., 2015",7.96208345534431,0.465795212837267
"424",218.8,NA,NA,2798.666667,"mean",1647,3950,1,"normal","paleosols","Schaller et al., 2015",7.8440907940364,0.439817584277232
"425",222,NA,NA,2732.066667,"mean",1636,3828,1,"normal","paleosols","Schaller et al., 2015",7.82505363486777,0.427412889858328
"426",222.3,NA,NA,2324.933333,"mean",1413,3237,1,"normal","paleosols","Schaller et al., 2015",7.66793631830539,0.416775755533368
"427",222.4,NA,NA,3022.666667,"mean",1756,4290,1,"normal","paleosols","Schaller et al., 2015",7.91741789305856,0.449113156428463
"428",223.2,NA,NA,2627.333333,"mean",1596,3658,1,"normal","paleosols","Schaller et al., 2015",7.78996380348028,0.417019194550502
"429",224.3,NA,NA,3042.066667,"mean",1805,4279,1,"normal","paleosols","Schaller et al., 2015",7.9298952435919,0.433984565974715
"430",225.8,NA,NA,2547.466667,"mean",1537,3558,1,"normal","paleosols","Schaller et al., 2015",7.75727080588219,0.422021957319103
"431",226.2,NA,NA,3302.4,"mean",1906,4699,1,"normal","paleosols","Schaller et al., 2015",8.00393354165848,0.453685837340959
"432",226.6,NA,NA,3182.6,"mean",1875,4491,1,"normal","paleosols","Schaller et al., 2015",7.97309730574612,0.439167283718437
"433",227.1,NA,NA,3568.133333,"mean",2055,5081,1,"normal","paleosols","Schaller et al., 2015",8.08064724926203,0.455138553350109
"434",229.3,NA,NA,3319.733333,"mean",1936,4704,1,"normal","paleosols","Schaller et al., 2015",8.01227387870749,0.446368436879638
"435",229.7,NA,NA,2445.6,"mean",1505,3387,1,"normal","paleosols","Schaller et al., 2015",7.72212401500037,0.407836113187966
"436",231,NA,NA,2516.4,"mean",1541,3492,1,"normal","paleosols","Schaller et al., 2015",7.7492083761398,0.411301019103508
"437",231.4,NA,NA,3230.866667,"mean",1900,4562,1,"normal","paleosols","Schaller et al., 2015",7.98756278399943,0.440394335687042
"438",232,NA,NA,2142.8,"mean",1335,2950,1,"normal","paleosols","Schaller et al., 2015",7.59312351008411,0.398646283510974
"439",232.2,NA,NA,2884.2,"mean",1724,4045,1,"normal","paleosols","Schaller et al., 2015",7.87881964035812,0.428793613418957
"440",100,NA,NA,746,"mean",373,1492,1,"skew_normal","paleosols","Ludvigson et al., 2015",6.61472560020376,0.697010091893198
"441",102.5,NA,NA,886,"mean",443,1772,1,"skew_normal","paleosols","Ludvigson et al., 2015",6.78671695060508,0.697010091893198
"442",111.5,NA,NA,996,"mean",498,1992,1,"skew_normal","paleosols","Ludvigson et al., 2015",6.9037472575846,0.697010091893198
"443",113.5,NA,NA,1335,"mean",668,2670,1,"skew_normal","paleosols","Ludvigson et al., 2015",7.19706096246547,0.696633613776385
"444",115.5,NA,NA,986,"mean",493,1972,1,"skew_normal","paleosols","Ludvigson et al., 2015",6.89365635460264,0.697010091893199
"445",116,NA,NA,1071,"mean",536,2142,1,"skew_normal","paleosols","Ludvigson et al., 2015",6.97681470603925,0.696540855740137
"446",116.5,NA,NA,1190,"mean",595,2380,1,"skew_normal","paleosols","Ludvigson et al., 2015",7.08170858610557,0.697010091893199
"447",119.4,NA,NA,1179,"mean",590,2358,1,"skew_normal","paleosols","Ludvigson et al., 2015",7.07284580899854,0.696583820988892
"448",1,NA,NA,244,"mean",153,403,1,"skew_normal","paleosols","Da et al., 2015",5.51468724166956,0.48694804320334
"449",1.1,NA,NA,214,"mean",134,353,1,"skew_normal","paleosols","Da et al., 2015",5.3821539284421,0.48701321259378
"450",1.2,NA,NA,335,"mean",210,552,1,"skew_normal","paleosols","Da et al., 2015",5.83032778849728,0.485913245737619
"451",1.2,NA,NA,217,"mean",136,357,1,"skew_normal","paleosols","Da et al., 2015",5.39519533375785,0.485229647397762
"452",1.2,NA,NA,193,"mean",121,319,1,"skew_normal","paleosols","Da et al., 2015",5.28049082419079,0.487401514712331
"453",1.3,NA,NA,141,"mean",88,233,1,"skew_normal","paleosols","Da et al., 2015",4.96418763402195,0.489564040633242
"454",1.3,NA,NA,157,"mean",98,258,1,"skew_normal","paleosols","Da et al., 2015",5.06896353179609,0.486693364593136
"455",1.3,NA,NA,196,"mean",123,324,1,"skew_normal","paleosols","Da et al., 2015",5.29646393558237,0.486978471774868
"456",1.4,NA,NA,194,"mean",122,321,1,"skew_normal","paleosols","Da et al., 2015",5.28773108393164,0.486405756709512
"457",1.4,NA,NA,192,"mean",120,317,1,"skew_normal","paleosols","Da et al., 2015",5.27319675832966,0.488411851067977
"458",1.4,NA,NA,192,"mean",120,316,1,"skew_normal","paleosols","Da et al., 2015",5.27161697818448,0.486823266803267
"459",1.4,NA,NA,194,"mean",121,320,1,"skew_normal","paleosols","Da et al., 2015",5.28205577069526,0.488975182668396
"460",1.5,NA,NA,239,"mean",150,394,1,"skew_normal","paleosols","Da et al., 2015",5.4934931016971,0.485548775622701
"461",1.5,NA,NA,210,"mean",132,347,1,"skew_normal","paleosols","Da et al., 2015",5.36606335126662,0.485954646083603
"462",1.5,NA,NA,303,"mean",190,500,1,"skew_normal","paleosols","Da et al., 2015",5.73081608529134,0.486488187482959
"463",1.6,NA,NA,282,"mean",177,465,1,"skew_normal","paleosols","Da et al., 2015",5.65909356908059,0.485635283967979
"464",1.6,NA,NA,230,"mean",144,380,1,"skew_normal","paleosols","Da et al., 2015",5.45499227614822,0.487882880475775
"465",1.6,NA,NA,247,"mean",154,407,1,"skew_normal","paleosols","Da et al., 2015",5.52288289392811,0.488638382498487
"466",1.6,NA,NA,207,"mean",130,342,1,"skew_normal","paleosols","Da et al., 2015",5.35117259375909,0.486333460138605
"467",1.7,NA,NA,239,"mean",150,394,1,"skew_normal","paleosols","Da et al., 2015",5.4934931016971,0.485548775622701
"468",1.8,NA,NA,230,"mean",144,379,1,"skew_normal","paleosols","Da et al., 2015",5.45367475232921,0.486558014092545
"469",1.9,NA,NA,307,"mean",192,507,1,"skew_normal","paleosols","Da et al., 2015",5.74300318780948,0.488213552307169
"470",1.9,NA,NA,252,"mean",158,415,1,"skew_normal","paleosols","Da et al., 2015",5.54543677662883,0.485532622099014
"471",2.1,NA,NA,299,"mean",187,494,1,"skew_normal","paleosols","Da et al., 2015",5.71682206702125,0.488420332693185
"472",2.1,NA,NA,300,"mean",188,495,1,"skew_normal","paleosols","Da et al., 2015",5.72049986269932,0.486755556009074
"473",2.1,NA,NA,278,"mean",174,458,1,"skew_normal","paleosols","Da et al., 2015",5.64296224166436,0.486603757303377
"474",2.2,NA,NA,338,"mean",212,557,1,"skew_normal","paleosols","Da et al., 2015",5.83957575729965,0.48568118447482
"475",2.3,NA,NA,387,"mean",243,639,1,"skew_normal","paleosols","Da et al., 2015",5.97648294885904,0.486115615030555
"476",2.3,NA,NA,342,"mean",214,564,1,"skew_normal","paleosols","Da et al., 2015",5.85051513325996,0.487239456209232
"477",2.3,NA,NA,405,"mean",254,669,1,"skew_normal","paleosols","Da et al., 2015",6.02155916357338,0.486923483367584
"478",2.6,NA,NA,400,"mean",251,660,1,"skew_normal","paleosols","Da et al., 2015",6.00884638707613,0.48608740109146
"479",2.6,NA,NA,385,"mean",241,636,1,"skew_normal","paleosols","Da et al., 2015",5.96999774841539,0.487904840533498
"481",220.1,NA,NA,215,"mean",108,430,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",5.37295821790591,0.694676971690297
"482",214.7,NA,NA,355,"mean",178,710,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",5.87352426016372,0.695595782939492
"483",213.5,NA,NA,443,"mean",222,886,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.09469716623868,0.695876412717258
"484",213.3,NA,NA,500,"mean",250,1000,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.21460809842219,0.697010091893198
"485",213.2,NA,NA,546,"mean",273,1092,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.30261897574491,0.697010091893198
"486",213.1,NA,NA,501,"mean",251,1002,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.2176031103883,0.696007526253903
"487",213,NA,NA,523,"mean",262,1046,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.26053657419298,0.696049658933506
"488",212.7,NA,NA,170,"mean",85,340,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",5.13579843705026,0.697010091893199
"489",212.6,NA,NA,738,"mean",369,1476,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.60394382460047,0.697010091893198
"490",212.5,NA,NA,1463,"mean",732,2926,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",7.28858604777069,0.696666541144258
"491",212.4,NA,NA,522,"mean",261,1044,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.25766758788264,0.697010091893198
"492",212.2,NA,NA,713,"mean",357,1426,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.57018219137694,0.69630541553186
"493",212.1,NA,NA,708,"mean",354,1416,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.56244409369372,0.697010091893198
"495",211.7,NA,NA,683,"mean",342,1366,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.52722638859667,0.696274486053845
"496",211.5,NA,NA,643,"mean",322,1286,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.46692172517099,0.69622876073128
"497",211.4,NA,NA,749,"mean",375,1498,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.61940609502379,0.696339262572187
"498",211.3,NA,NA,128,"mean",64,256,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",4.85203026391962,0.697010091893198
"499",211.2,NA,NA,182,"mean",91,364,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",5.2040066870768,0.697010091893198
"500",211.2,NA,NA,616,"mean",308,1232,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.42324696353352,0.697010091893198
"501",211.1,NA,NA,726,"mean",363,1452,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.5875500148248,0.697010091893199
"504",210.4,NA,NA,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",5.39134963808443,0.694719488835603
"505",210.1,NA,NA,420,"mean",210,840,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.04025471127741,0.697010091893199
"506",209.9,NA,NA,1080,"mean",540,2160,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.98471632011826,0.697010091893198
"507",209.9,NA,NA,777,"mean",389,1554,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.65608343727302,0.696363421062558
"508",209.7,NA,NA,665,"mean",333,1330,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.50053835559812,0.696254589870486
"509",209.6,NA,NA,529,"mean",265,1058,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.27193271920223,0.696060542033041
"510",209.5,NA,NA,1220,"mean",610,2440,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",7.1066061377273,0.697010091893198
"511",209.3,NA,NA,1025,"mean",513,2050,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.93293545865161,0.696519807601289
"512",209.2,NA,NA,1406,"mean",703,2812,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",7.24850407237061,0.697010091893198
"513",209,NA,NA,1063,"mean",532,2126,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.96932052412177,0.696537325989525
"514",208.6,NA,NA,1869,"mean",935,3738,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",7.5334262586521,0.696741150190336
"515",208.4,NA,NA,904,"mean",452,1808,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.80682936039218,0.697010091893199
"516",208.2,NA,NA,1179,"mean",590,2358,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",7.07284580899854,0.696583820988892
"517",208,NA,NA,964,"mean",482,1928,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6.87109129461055,0.697010091893198
"518",207.4,NA,NA,1978,"mean",989,3956,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",7.58984151218266,0.697010091893198
"519",205.15,209,201.3,1626.42,"mean",813,3253,1,"skew_normal","paleosols","Whiteside et al., 2015",7.39403201801058,0.697164676522091
"520",205.15,209,201.3,1233.546667,"mean",617,2467,1,"skew_normal","paleosols","Whiteside et al., 2015",7.11781357021737,0.696806328363961
"521",205.15,209,201.3,1293.693333,"mean",647,2587,1,"skew_normal","paleosols","Whiteside et al., 2015",7.16530023834347,0.696815778267007
"522",211.9,212.6,211.2,749,"mean",374,1498,1,"skew_normal","paleosols","Whiteside et al., 2015",6.61807098074585,0.697681817446034
"523",211.9,212.6,211.2,786,"mean",393,1573,1,"skew_normal","paleosols","Whiteside et al., 2015",6.66727475746377,0.69732982894786
"524",34.2,NA,NA,399,"mean",127,672,1,"normal","paleosols","Kohn et al., 2015",5.67722271349087,0.837678137100729
"525",0.2,NA,NA,289,"mean",263,315,1,"normal","alkenones","Seki et al., 2010",5.6623633355017,0.0907120400441406
"526",0.3,NA,NA,246,"mean",224,268,1,"normal","alkenones","Seki et al., 2010",5.50131651618295,0.0901701980967607
"527",0.5,NA,NA,255,"mean",232,278,1,"normal","alkenones","Seki et al., 2010",5.53717924267847,0.0909459038327998
"528",0.9,NA,NA,243,"mean",221,264,1,"normal","alkenones","Seki et al., 2010",5.48705590233203,0.0893886028912219
"529",1,NA,NA,252,"mean",230,275,1,"normal","alkenones","Seki et al., 2010",5.52742520329488,0.0898438193111918
"530",1.2,NA,NA,266,"mean",243,290,1,"normal","alkenones","Seki et al., 2010",5.58147118316053,0.088902447567342
"531",1.3,NA,NA,271,"mean",246,295,1,"normal","alkenones","Seki et al., 2010",5.59615344613609,0.091328060983928
"532",1.5,NA,NA,277,"mean",252,302,1,"normal","alkenones","Seki et al., 2010",5.61992805244315,0.0910033159369454
"533",1.8,NA,NA,270,"mean",246,295,1,"normal","alkenones","Seki et al., 2010",5.59615344613609,0.0913280609839285
"534",2.1,NA,NA,254,"mean",231,277,1,"normal","alkenones","Seki et al., 2010",5.53321760835457,0.0913059259379619
"535",2.3,NA,NA,273,"mean",249,298,1,"normal","alkenones","Seki et al., 2010",5.60727319148506,0.0903208637961021
"536",2.6,NA,NA,267,"mean",243,291,1,"normal","alkenones","Seki et al., 2010",5.58319235525602,0.0906332117601224
"537",2.8,NA,NA,299,"mean",272,326,1,"normal","alkenones","Seki et al., 2010",5.69634972383135,0.0910522799046043
"538",2.8,NA,NA,303,"mean",276,331,1,"normal","alkenones","Seki et al., 2010",5.71125962054711,0.0913651109453695
"539",2.9,NA,NA,323,"mean",294,352,1,"normal","alkenones","Seki et al., 2010",5.77360547146839,0.0905274176510496
"540",2.9,NA,NA,333,"mean",303,363,1,"normal","alkenones","Seki et al., 2010",5.80406781988711,0.0908384516860297
"541",3,NA,NA,372,"mean",338,405,1,"normal","alkenones","Seki et al., 2010",5.91346648129478,0.0909245000099093
"542",3.1,NA,NA,353,"mean",321,385,1,"normal","alkenones","Seki et al., 2010",5.8623422287089,0.0914076977151494
"543",3.1,NA,NA,344,"mean",313,375,1,"normal","alkenones","Seki et al., 2010",5.83656460825528,0.0908650021692974
"544",3.2,NA,NA,335,"mean",305,365,1,"normal","alkenones","Seki et al., 2010",5.81010456509495,0.0902932039693041
"545",3.2,NA,NA,341,"mean",310,372,1,"normal","alkenones","Seki et al., 2010",5.82773307587617,0.091668817690643
"546",3.6,NA,NA,362,"mean",329,395,1,"normal","alkenones","Seki et al., 2010",5.88747175783325,0.0919234576056884
"547",3.8,NA,NA,357,"mean",325,389,1,"normal","alkenones","Seki et al., 2010",5.87370226297409,0.0903779658865628
"548",3.9,NA,NA,338,"mean",307,368,1,"normal","alkenones","Seki et al., 2010",5.81746534287806,0.0911226074234399
"549",4,NA,NA,329,"mean",300,359,1,"normal","alkenones","Seki et al., 2010",5.79355243157224,0.0902702451573854
"550",4.1,NA,NA,354,"mean",322,385,1,"normal","alkenones","Seki et al., 2010",5.8638974399161,0.0898438193111925
"551",4.3,NA,NA,381,"mean",348,414,1,"normal","alkenones","Seki et al., 2010",5.93903422679989,0.0873156606141614
"552",4.4,NA,NA,351,"mean",320,382,1,"normal","alkenones","Seki et al., 2010",5.85687080220017,0.0890432947452679
"553",4.6,NA,NA,370,"mean",337,402,1,"normal","alkenones","Seki et al., 2010",5.90826750948569,0.0886760320594993
"554",4.8,NA,NA,351,"mean",320,382,1,"normal","alkenones","Seki et al., 2010",5.85687080220017,0.089043294745268
"555",4.9,NA,NA,383,"mean",350,417,1,"normal","alkenones","Seki et al., 2010",5.94550968814113,0.0880645979445662
"556",4.9,NA,NA,422,"mean",385,459,1,"normal","alkenones","Seki et al., 2010",6.04114677217416,0.0883933240115305
"557",5,NA,NA,448,"mean",409,488,1,"normal","alkenones","Seki et al., 2010",6.10201528094797,0.0887922217682782
"558",5.2,NA,NA,457,"mean",417,497,1,"normal","alkenones","Seki et al., 2010",6.12083812394772,0.0882409437649407
"559",0.02,NA,NA,318,"mean",283,402,1,"skew_normal","alkenones","Zhang et al., 2013",5.82094949313113,0.176480671983244
"560",0.03,NA,NA,305,"mean",273,384,1,"skew_normal","alkenones","Zhang et al., 2013",5.78005717388634,0.171536051532716
"561",0.03,NA,NA,322,"mean",284,411,1,"skew_normal","alkenones","Zhang et al., 2013",5.83378372632872,0.185839432003913
"562",0.04,NA,NA,308,"mean",268,400,1,"skew_normal","alkenones","Zhang et al., 2013",5.79122576380942,0.201354714643383
"563",0.06,NA,NA,312,"mean",279,393,1,"skew_normal","alkenones","Zhang et al., 2013",5.80251069684531,0.172253564395363
"564",0.07,NA,NA,338,"mean",304,422,1,"skew_normal","alkenones","Zhang et al., 2013",5.88101650772112,0.164902716428371
"565",0.09,NA,NA,334,"mean",293,429,1,"skew_normal","alkenones","Zhang et al., 2013",5.87081476397254,0.19170460426152
"566",0.11,NA,NA,332,"mean",290,429,1,"skew_normal","alkenones","Zhang et al., 2013",5.86566892095427,0.196879125078495
"567",0.11,NA,NA,336,"mean",293,435,1,"skew_normal","alkenones","Zhang et al., 2013",5.87775932005288,0.198687862373889
"568",0.13,NA,NA,336,"mean",305,418,1,"skew_normal","alkenones","Zhang et al., 2013",5.87789660456608,0.158463048681404
"569",0.15,NA,NA,315,"mean",277,403,1,"skew_normal","alkenones","Zhang et al., 2013",5.81147703406701,0.1885042403954
"570",0.16,NA,NA,316,"mean",286,395,1,"skew_normal","alkenones","Zhang et al., 2013",5.81743878786049,0.162346721531878
"571",0.17,NA,NA,330,"mean",286,429,1,"skew_normal","alkenones","Zhang et al., 2013",5.85872436487394,0.203862383190864
"572",0.31,NA,NA,319,"mean",275,418,1,"skew_normal","alkenones","Zhang et al., 2013",5.82612626509566,0.210521904410239
"573",0.43,NA,NA,285,"mean",252,362,1,"skew_normal","alkenones","Zhang et al., 2013",5.7105366496686,0.182116875148723
"574",0.58,NA,NA,302,"mean",261,393,1,"skew_normal","alkenones","Zhang et al., 2013",5.76916500959598,0.205785087260573
"575",0.93,NA,NA,291,"mean",255,374,1,"skew_normal","alkenones","Zhang et al., 2013",5.73275967128648,0.192563334618025
"576",1.05,NA,NA,301,"mean",261,393,1,"skew_normal","alkenones","Zhang et al., 2013",5.76916500959598,0.205785087260573
"577",1.19,NA,NA,322,"mean",281,416,1,"skew_normal","alkenones","Zhang et al., 2013",5.8345199647975,0.197258525248558
"578",1.21,NA,NA,311,"mean",263,414,1,"skew_normal","alkenones","Zhang et al., 2013",5.79901000300154,0.228120239835161
"579",1.22,NA,NA,317,"mean",278,409,1,"skew_normal","alkenones","Zhang et al., 2013",5.82066813486672,0.194122872808847
"580",1.23,NA,NA,322,"mean",278,422,1,"skew_normal","alkenones","Zhang et al., 2013",5.83631321386332,0.209855141878009
"581",1.25,NA,NA,291,"mean",257,372,1,"skew_normal","alkenones","Zhang et al., 2013",5.73398496958418,0.185939382462477
"582",1.27,NA,NA,309,"mean",257,416,1,"skew_normal","alkenones","Zhang et al., 2013",5.78988067257824,0.242146592378344
"583",1.28,NA,NA,298,"mean",263,382,1,"skew_normal","alkenones","Zhang et al., 2013",5.75878732039217,0.18767339609398
"584",1.35,NA,NA,326,"mean",276,434,1,"skew_normal","alkenones","Zhang et al., 2013",5.84672269990878,0.227583126457946
"585",1.64,NA,NA,298,"mean",255,392,1,"skew_normal","alkenones","Zhang et al., 2013",5.75626269247444,0.216197338214141
"586",1.73,NA,NA,312,"mean",271,405,1,"skew_normal","alkenones","Zhang et al., 2013",5.80300294399312,0.202003650938979
"587",1.97,NA,NA,309,"mean",263,408,1,"skew_normal","alkenones","Zhang et al., 2013",5.79171060329096,0.220780160547925
"588",2.09,NA,NA,329,"mean",275,442,1,"skew_normal","alkenones","Zhang et al., 2013",5.85404048987213,0.238591695245799
"589",2.19,NA,NA,331,"mean",279,441,1,"skew_normal","alkenones","Zhang et al., 2013",5.86012832863411,0.230192299420343
"590",2.3,NA,NA,337,"mean",285,450,1,"skew_normal","alkenones","Zhang et al., 2013",5.88086838151651,0.229651959227003
"591",2.4,NA,NA,344,"mean",288,461,1,"skew_normal","alkenones","Zhang et al., 2013",5.8981792615663,0.236529656410535
"592",2.59,NA,NA,333,"mean",280,446,1,"skew_normal","alkenones","Zhang et al., 2013",5.86755427759466,0.234061872659832
"593",2.6,NA,NA,305,"mean",255,410,1,"skew_normal","alkenones","Zhang et al., 2013",5.77871035242839,0.23877009904489
"594",2.72,NA,NA,317,"mean",266,424,1,"skew_normal","alkenones","Zhang et al., 2013",5.81661488200683,0.234417743738636
"595",2.94,NA,NA,307,"mean",261,407,1,"skew_normal","alkenones","Zhang et al., 2013",5.78666679638264,0.223384411557926
"596",3.08,NA,NA,338,"mean",290,444,1,"skew_normal","alkenones","Zhang et al., 2013",5.88285274270637,0.214158712321185
"597",3.13,NA,NA,318,"mean",265,428,1,"skew_normal","alkenones","Zhang et al., 2013",5.81942651078401,0.241032515146978
"598",3.32,NA,NA,336,"mean",291,437,1,"skew_normal","alkenones","Zhang et al., 2013",5.87662823113354,0.204437983140979
"599",3.36,NA,NA,321,"mean",278,417,1,"skew_normal","alkenones","Zhang et al., 2013",5.83035366774472,0.203862383190863
"600",3.46,NA,NA,339,"mean",299,434,1,"skew_normal","alkenones","Zhang et al., 2013",5.88674405374555,0.187338733495227
"601",3.51,NA,NA,393,"mean",340,512,1,"skew_normal","alkenones","Zhang et al., 2013",6.03363512132486,0.205830238937808
"602",3.52,NA,NA,346,"mean",303,445,1,"skew_normal","alkenones","Zhang et al., 2013",5.9059035438378,0.193241706434241
"603",3.67,NA,NA,346,"mean",309,437,1,"skew_normal","alkenones","Zhang et al., 2013",5.90663723599667,0.174261738003007
"604",3.85,NA,NA,327,"mean",291,414,1,"skew_normal","alkenones","Zhang et al., 2013",5.8495946204984,0.177253714112025
"605",3.99,NA,NA,334,"mean",295,427,1,"skew_normal","alkenones","Zhang et al., 2013",5.87187968478422,0.185934800825951
"606",4.11,NA,NA,348,"mean",307,445,1,"skew_normal","alkenones","Zhang et al., 2013",5.91246101487672,0.186647690589397
"607",4.45,NA,NA,379,"mean",345,471,1,"skew_normal","alkenones","Zhang et al., 2013",5.99920125552389,0.156524314524136
"608",4.78,NA,NA,361,"mean",332,443,1,"skew_normal","alkenones","Zhang et al., 2013",5.94935236948081,0.145021124573764
"609",7.15,NA,NA,379,"mean",323,500,1,"skew_normal","alkenones","Zhang et al., 2013",5.99613021082242,0.219695465528011
"610",14.1,NA,NA,341,"mean",311,421,1,"skew_normal","alkenones","Zhang et al., 2013",5.89121287293081,0.152263824650718
