"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","shape_co2","scale_co2"
"86",65.2,66.2,64.2,163,"mean",81,326,1,"skew_normal","paleosols","Nordt et al., 2003",2.3541250285309,86.4553000761439
"88",65.6,66.6,64.6,111,"mean",56,222,1,"skew_normal","paleosols","Nordt et al., 2003",2.39955687119365,57.9363264272261
"89",65.8,66.8,64.8,178,"mean",89,355,1,"skew_normal","paleosols","Nordt et al., 2003",2.38088557948577,93.2561427880276
"91",66.1,67.1,65.1,183,"mean",92,366,1,"skew_normal","paleosols","Nordt et al., 2003",2.38885274324242,95.8762218587609
"92",66.2,67.2,65.2,277,"mean",139,555,1,"skew_normal","paleosols","Nordt et al., 2003",2.37783730267684,145.951861491227
"97",66.6,67.6,65.6,263,"mean",132,527,1,"skew_normal","paleosols","Nordt et al., 2003",2.37812462682582,138.574453375192
"98",66.7,67.7,65.7,453,"mean",226,906,1,"skew_normal","paleosols","Nordt et al., 2003",2.36583208677515,239.272079245452
"99",66.9,67.9,65.9,426,"mean",213,852,1,"skew_normal","paleosols","Nordt et al., 2003",2.37243530566148,224.484461510239
"100",66.9,67.9,65.9,265,"mean",133,531,1,"skew_normal","paleosols","Nordt et al., 2003",2.37808172332347,139.628368720365
"101",67,68,66,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2003",2.38614694056045,114.846449956707
"102",67,68,66,128,"mean",64,257,1,"skew_normal","paleosols","Nordt et al., 2003",2.36080732853691,67.9943485752227
"104",68.7,69.7,67.7,171,"mean",85,341,1,"skew_normal","paleosols","Nordt et al., 2003",2.36366691158329,90.1264632030706
"105",68.8,69.8,67.8,110,"mean",55,219,1,"skew_normal","paleosols","Nordt et al., 2003",2.38614694056045,57.4232249783537
"106",69,70,68,158,"mean",79,317,1,"skew_normal","paleosols","Nordt et al., 2003",2.36300425156874,83.8029934158381
"107",69.1,70.1,68.1,138,"mean",69,277,1,"skew_normal","paleosols","Nordt et al., 2003",2.36164516710587,73.2638910636531
"108",69.3,70.3,68.3,202,"mean",101,404,1,"skew_normal","paleosols","Nordt et al., 2003",2.37243530566148,106.445683626921
"109",69.4,70.4,68.4,145,"mean",73,290,1,"skew_normal","paleosols","Nordt et al., 2003",2.39317222994871,75.852247638306
"110",69.5,70.5,68.5,345,"mean",172,689,1,"skew_normal","paleosols","Nordt et al., 2003",2.36809198506892,181.817058544909
"111",69.7,70.7,68.7,204,"mean",102,407,1,"skew_normal","paleosols","Nordt et al., 2003",2.37980442235217,106.957014142493
"112",69.9,70.9,68.9,309,"mean",155,618,1,"skew_normal","paleosols","Nordt et al., 2003",2.38214587548458,162.272315013969
"113",70,71,69,375,"mean",188,751,1,"skew_normal","paleosols","Nordt et al., 2003",2.37642638879431,197.593750642469
"114",70.1,71.1,69.1,329,"mean",164,657,1,"skew_normal","paleosols","Nordt et al., 2003",2.36788062184562,173.385728761914
"115",70.2,71.2,69.2,122,"mean",61,243,1,"skew_normal","paleosols","Nordt et al., 2003",2.38478951919774,63.7466581336427
"117",70.5,71.5,69.5,126,"mean",63,252,1,"skew_normal","paleosols","Nordt et al., 2003",2.37243530566148,66.3968125593664
"118",71.4,72.4,70.4,254,"mean",127,508,1,"skew_normal","paleosols","Nordt et al., 2003",2.37243530566148,133.847542778405
"119",71.5,72.5,70.5,289,"mean",145,578,1,"skew_normal","paleosols","Nordt et al., 2003",2.38281921615384,151.733210814641
"120",71.6,72.6,70.6,294,"mean",147,589,1,"skew_normal","paleosols","Nordt et al., 2003",2.36735529298396,155.469157124376
"121",280.7,282,279.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",2.38367665089753,70.0701043467947
"122",273.7,275,272.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",2.38367665089753,70.0701043467947
"123",83.3,100.5,66,740,"mean",370,1480,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.37243530566148,389.949534078818
"124",182.4,201.3,163.5,1113,"mean",556,2225,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",2.37108957152381,586.521277052085
