,age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
37,25.6,28.1,23,588,mean,294,1176,1,skew_normal,paleosols,"Ekart et al., 1999",1131.76781,597.6586094,-1.489473223
38,45,NA,NA,780,mean,390,1560,1,skew_normal,paleosols,"Ekart et al., 1999",1501.324646,792.8124411,-1.489473223
39,69.1,72.1,66,328,mean,164,656,1,skew_normal,paleosols,"Ekart et al., 1999",631.3262614,333.3877957,-1.489473223
40,69.1,72.1,66,172,mean,86,344,1,skew_normal,paleosols,"Ekart et al., 1999",331.0613322,174.8253075,-1.489473223
41,69.1,72.1,66,252,mean,126,504,1,skew_normal,paleosols,"Ekart et al., 1999",485.0433472,256.139404,-1.489473223
42,77.9,83.6,72.1,1180,mean,590,2360,1,skew_normal,paleosols,"Ekart et al., 1999",2271.234721,1199.382924,-1.489473223
43,77.9,83.6,72.1,504,mean,252,1008,1,skew_normal,paleosols,"Ekart et al., 1999",970.0866943,512.2788081,-1.489473223
44,119.7,126.3,113,904,mean,452,1808,1,skew_normal,paleosols,"Ekart et al., 1999",1739.996769,918.8492907,-1.489473223
45,119.7,126.3,113,1084,mean,542,2168,1,skew_normal,paleosols,"Ekart et al., 1999",2086.456303,1101.806008,-1.489473223
46,119.7,126.3,113,1076,mean,538,2152,1,skew_normal,paleosols,"Ekart et al., 1999",2071.058101,1093.674598,-1.489473223
47,119.7,126.3,113,592,mean,296,1184,1,skew_normal,paleosols,"Ekart et al., 1999",1139.466911,601.7243143,-1.489473223
48,154.7,157.3,152.1,1272,mean,636,2544,1,skew_normal,paleosols,"Ekart et al., 1999",2448.314038,1292.894135,-1.489473223
49,187.7,201.3,174.1,1824,mean,912,3648,1,skew_normal,paleosols,"Ekart et al., 1999",3510.789941,1853.961401,-1.489473223
50,172.2,174.1,170.3,768,mean,384,1536,1,skew_normal,paleosols,"Ekart et al., 1999",1478.227344,780.6153266,-1.489473223
51,223.3,237,209.5,660,mean,330,1320,1,skew_normal,paleosols,"Ekart et al., 1999",1270.351624,670.8412963,-1.489473223
52,223.3,237,209.5,732,mean,366,1464,1,skew_normal,paleosols,"Ekart et al., 1999",1408.935437,744.0239832,-1.489473223
53,223.3,237,209.5,1140,mean,570,2280,1,skew_normal,paleosols,"Ekart et al., 1999",2194.243713,1158.725875,-1.489473223
54,242.1,247.1,237,244,mean,122,488,1,skew_normal,paleosols,"Ekart et al., 1999",469.6451457,248.0079944,-1.489473223
55,259.4,259.8,259,400,mean,200,800,1,skew_normal,paleosols,"Ekart et al., 1999",769.9100749,406.5704826,-1.489473223
56,303,307,298.9,608,mean,304,1216,1,skew_normal,paleosols,"Ekart et al., 1999",1170.263314,617.9871336,-1.489473223
57,344.8,347,342.5,824,mean,412,1648,1,skew_normal,paleosols,"Ekart et al., 1999",1586.014754,837.5351942,-1.489473223
58,388,393.3,382.7,624,mean,312,1248,1,skew_normal,paleosols,"Ekart et al., 1999",1201.059717,634.2499529,-1.489473223
59,130.1,133.9,126.3,1150,mean,575,2300,1,skew_normal,paleosols,"Lee, 1999",2213.491465,1168.890138,-1.489473223
60,134.3,136.5,132,653,mean,327,1307,1,skew_normal,paleosols,"Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",1258.516001,664.5119094,-1.493359383
61,365.6,372.2,358.9,1140,mean,570,2280,1,skew_normal,paleosols,"Driese et al., 2000",2194.243713,1158.725875,-1.489473223
62,365.6,372.2,358.9,1260,mean,630,2520,1,skew_normal,paleosols,"Driese et al., 2000",2425.216736,1280.69702,-1.489473223
63,402.6,407.6,397.5,1320,mean,660,2640,1,skew_normal,paleosols,"Driese et al., 2000",2540.703247,1341.682593,-1.489473223
64,421.1,423,419.2,1440,mean,720,2880,1,skew_normal,paleosols,"Driese et al., 2000",2771.67627,1463.653737,-1.489473223
65,377.5,382.7,372.2,1120,mean,560,2240,1,skew_normal,paleosols,"Cox et al., 2001",2155.74821,1138.397351,-1.489473223
66,385.2,387.7,382.7,1560,mean,780,3120,1,skew_normal,paleosols,"Cox et al., 2001",3002.649292,1585.624882,-1.489473223
