"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","mu_co2","sigma_co2"
"78",130.1,130.8,129.4,112,"mean",56,224,1,"skew_normal","paleosols","Robinson et al., 2002",112,364.800082101806
"79",64.8,65,64.7,400,"mean",200,800,1,"skew_normal","paleosols","Nordt et al., 2002",400,364.800082101806
"80",65.3,65.7,65,340,"mean",170,680,1,"skew_normal","paleosols","Nordt et al., 2002",340,364.800082101806
"81",65.9,66.3,65.5,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",300,364.800082101806
"82",67.2,68.1,66.3,560,"mean",280,1120,1,"skew_normal","paleosols","Nordt et al., 2002",560,364.800082101806
"83",67.2,68.1,66.3,300,"mean",150,600,1,"skew_normal","paleosols","Nordt et al., 2002",300,364.800082101806
"84",77.1,80,74.3,480,"mean",240,960,1,"skew_normal","paleosols","Nordt et al., 2002",480,364.800082101806
"85",65.2,66.2,64.2,178,"mean",89,356,1,"skew_normal","paleosols","Nordt et al., 2003",178,364.800082101806
"86",65.2,66.2,64.2,163,"mean",81,326,1,"skew_normal","paleosols","Nordt et al., 2003",163,364.800082101806
"87",65.4,66.4,64.4,88,"mean",44,176,1,"skew_normal","paleosols","Nordt et al., 2003",88,364.800082101806
"88",65.6,66.6,64.6,111,"mean",56,222,1,"skew_normal","paleosols","Nordt et al., 2003",111,364.800082101806
"89",65.8,66.8,64.8,178,"mean",89,355,1,"skew_normal","paleosols","Nordt et al., 2003",178,364.800082101806
"90",65.9,66.9,64.9,54,"mean",27,108,1,"skew_normal","paleosols","Nordt et al., 2003",54,364.800082101806
"91",66.1,67.1,65.1,183,"mean",92,366,1,"skew_normal","paleosols","Nordt et al., 2003",183,364.800082101806
"92",66.2,67.2,65.2,277,"mean",139,555,1,"skew_normal","paleosols","Nordt et al., 2003",277,364.800082101806
"93",66.4,67.4,65.4,90,"mean",45,180,1,"skew_normal","paleosols","Nordt et al., 2003",90,364.800082101806
"95",66.5,67.5,65.5,42,"mean",21,85,1,"skew_normal","paleosols","Nordt et al., 2003",42,364.800082101806
"96",66.6,67.6,65.6,15,"mean",7,30,1,"skew_normal","paleosols","Nordt et al., 2003",15,364.800082101806
"97",66.6,67.6,65.6,263,"mean",132,527,1,"skew_normal","paleosols","Nordt et al., 2003",263,364.800082101806
"98",66.7,67.7,65.7,453,"mean",226,906,1,"skew_normal","paleosols","Nordt et al., 2003",453,364.800082101806
"99",66.9,67.9,65.9,426,"mean",213,852,1,"skew_normal","paleosols","Nordt et al., 2003",426,364.800082101806
"100",66.9,67.9,65.9,265,"mean",133,531,1,"skew_normal","paleosols","Nordt et al., 2003",265,364.800082101806
"101",67,68,66,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2003",219,364.800082101806
"102",67,68,66,128,"mean",64,257,1,"skew_normal","paleosols","Nordt et al., 2003",128,364.800082101806
"103",68.5,69.5,67.5,10,"mean",5,21,1,"skew_normal","paleosols","Nordt et al., 2003",10,364.800082101806
"104",68.7,69.7,67.7,171,"mean",85,341,1,"skew_normal","paleosols","Nordt et al., 2003",171,364.800082101806
"105",68.8,69.8,67.8,110,"mean",55,219,1,"skew_normal","paleosols","Nordt et al., 2003",110,364.800082101806
"106",69,70,68,158,"mean",79,317,1,"skew_normal","paleosols","Nordt et al., 2003",158,364.800082101806
"107",69.1,70.1,68.1,138,"mean",69,277,1,"skew_normal","paleosols","Nordt et al., 2003",138,364.800082101806
"108",69.3,70.3,68.3,202,"mean",101,404,1,"skew_normal","paleosols","Nordt et al., 2003",202,364.800082101806
"109",69.4,70.4,68.4,145,"mean",73,290,1,"skew_normal","paleosols","Nordt et al., 2003",145,364.800082101806
"110",69.5,70.5,68.5,345,"mean",172,689,1,"skew_normal","paleosols","Nordt et al., 2003",345,364.800082101806
"111",69.7,70.7,68.7,204,"mean",102,407,1,"skew_normal","paleosols","Nordt et al., 2003",204,364.800082101806
"112",69.9,70.9,68.9,309,"mean",155,618,1,"skew_normal","paleosols","Nordt et al., 2003",309,364.800082101806
"113",70,71,69,375,"mean",188,751,1,"skew_normal","paleosols","Nordt et al., 2003",375,364.800082101806
"114",70.1,71.1,69.1,329,"mean",164,657,1,"skew_normal","paleosols","Nordt et al., 2003",329,364.800082101806
"115",70.2,71.2,69.2,122,"mean",61,243,1,"skew_normal","paleosols","Nordt et al., 2003",122,364.800082101806
"116",70.3,71.3,69.3,38,"mean",19,76,1,"skew_normal","paleosols","Nordt et al., 2003",38,364.800082101806
"117",70.5,71.5,69.5,126,"mean",63,252,1,"skew_normal","paleosols","Nordt et al., 2003",126,364.800082101806
"118",71.4,72.4,70.4,254,"mean",127,508,1,"skew_normal","paleosols","Nordt et al., 2003",254,364.800082101806
"119",71.5,72.5,70.5,289,"mean",145,578,1,"skew_normal","paleosols","Nordt et al., 2003",289,364.800082101806
"120",71.6,72.6,70.6,294,"mean",147,589,1,"skew_normal","paleosols","Nordt et al., 2003",294,364.800082101806
"121",280.7,282,279.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",133,364.800082101806
"122",273.7,275,272.3,133,"mean",67,267,1,"skew_normal","paleosols","Tabor et al., 2004",133,364.800082101806
"123",83.3,100.5,66,740,"mean",370,1480,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",740,364.800082101806
"124",182.4,201.3,163.5,1113,"mean",556,2225,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",1113,364.800082101806
"125",232.7,237,228.4,585,"mean",293,1170,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",585,364.800082101806
"126",242.1,247.1,237,605,"mean",303,1210,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",605,364.800082101806
"127",279.4,298.9,259.8,358,"mean",179,715,1,"skew_normal","paleosols","Ghosh et al., 2005 (and 1995, 2001)",358,364.800082101806
"128",219,228.4,209.5,880,"mean",440,1760,1,"skew_normal","paleosols","Prochnow et al., 2006",880,364.800082101806
"129",219,228.4,209.5,695,"mean",348,1390,1,"skew_normal","paleosols","Prochnow et al., 2006",695,364.800082101806
"130",232.7,237,228.4,116,"mean",58,232,1,"skew_normal","paleosols","Prochnow et al., 2006",116,364.800082101806
"131",246.1,247.1,245,580,"mean",290,1160,1,"skew_normal","paleosols","Prochnow et al., 2006",580,364.800082101806
"132",246.1,247.1,245,300,"mean",150,600,1,"skew_normal","paleosols","Prochnow et al., 2006",300,364.800082101806
"133",92.2,93,91.3,772,"mean",386,1544,1,"skew_normal","paleosols","Sandler, 2006",772,364.800082101806
"134",300.2,NA,NA,882,"mean",282,1347,1,"skew_normal","paleosols","Monta_ez et al., 2007",882,364.800082101806
"135",299.9,NA,NA,697,"mean",185,1102,1,"skew_normal","paleosols","Monta_ez et al., 2007",697,364.800082101806
"136",299.7,NA,NA,399,"mean",88,650,1,"skew_normal","paleosols","Monta_ez et al., 2007",399,364.800082101806
"137",298.6,NA,NA,515,"mean",0,996,1,"skew_normal","paleosols","Monta_ez et al., 2007",515,364.800082101806
"138",297.9,NA,NA,288,"mean",0,878,1,"skew_normal","paleosols","Monta_ez et al., 2007",288,364.800082101806
"139",296.6,NA,NA,65,"mean",0,304,1,"skew_normal","paleosols","Monta_ez et al., 2007",65,364.800082101806
"140",295.9,NA,NA,47,"mean",0,210,1,"skew_normal","paleosols","Monta_ez et al., 2007",47,364.800082101806
"141",294.3,NA,NA,50,"mean",0,271,1,"skew_normal","paleosols","Monta_ez et al., 2007",50,364.800082101806
"142",293.1,NA,NA,208,"mean",0,468,1,"skew_normal","paleosols","Monta_ez et al., 2007",208,364.800082101806
"143",290.5,NA,NA,600,"mean",234,966,1,"skew_normal","paleosols","Monta_ez et al., 2007",600,364.800082101806
"144",290.5,NA,NA,461,"mean",144,678,1,"skew_normal","paleosols","Monta_ez et al., 2007",461,364.800082101806
"145",290.4,NA,NA,1700,"mean",530,2497,1,"skew_normal","paleosols","Monta_ez et al., 2007",1700,364.800082101806
"146",290.4,NA,NA,419,"mean",131,616,1,"skew_normal","paleosols","Monta_ez et al., 2007",419,364.800082101806
"147",290.2,NA,NA,411,"mean",96,538,1,"skew_normal","paleosols","Monta_ez et al., 2007",411,364.800082101806
"148",289.9,NA,NA,620,"mean",102,770,1,"skew_normal","paleosols","Monta_ez et al., 2007",620,364.800082101806
"149",289.4,NA,NA,182,"mean",11,353,1,"skew_normal","paleosols","Monta_ez et al., 2007",182,364.800082101806
"150",288.9,NA,NA,183,"mean",24,342,1,"skew_normal","paleosols","Monta_ez et al., 2007",183,364.800082101806
"151",287.4,NA,NA,397,"mean",249,544,1,"skew_normal","paleosols","Monta_ez et al., 2007",397,364.800082101806
"152",287,NA,NA,1030,"mean",676,1396,1,"skew_normal","paleosols","Monta_ez et al., 2007",1030,364.800082101806
"153",286.9,NA,NA,1449,"mean",899,1999,1,"skew_normal","paleosols","Monta_ez et al., 2007",1449,364.800082101806
"154",285.8,NA,NA,774,"mean",465,1084,1,"skew_normal","paleosols","Monta_ez et al., 2007",774,364.800082101806
"155",285,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",792,364.800082101806
"156",284.8,NA,NA,792,"mean",460,1124,1,"skew_normal","paleosols","Monta_ez et al., 2007",792,364.800082101806
"157",284.5,NA,NA,824,"mean",480,1168,1,"skew_normal","paleosols","Monta_ez et al., 2007",824,364.800082101806
"158",283.8,NA,NA,1012,"mean",604,1419,1,"skew_normal","paleosols","Monta_ez et al., 2007",1012,364.800082101806
"159",283.4,NA,NA,1100,"mean",679,1520,1,"skew_normal","paleosols","Monta_ez et al., 2007",1100,364.800082101806
"160",282.4,NA,NA,899,"mean",566,1233,1,"skew_normal","paleosols","Monta_ez et al., 2007",899,364.800082101806
"161",281.1,NA,NA,1248,"mean",759,1737,1,"skew_normal","paleosols","Monta_ez et al., 2007",1248,364.800082101806
"162",277.6,NA,NA,1237,"mean",788,1685,1,"skew_normal","paleosols","Monta_ez et al., 2007",1237,364.800082101806
"163",210.7,211.9,209.5,111,"mean",56,222,1,"skew_normal","paleosols","Cleveland et al., 2008",111,364.800082101806
"164",211.8,214,209.5,544,"mean",272,1088,1,"skew_normal","paleosols","Cleveland et al., 2008",544,364.800082101806
"165",211.8,214,209.5,643,"mean",322,1287,1,"skew_normal","paleosols","Cleveland et al., 2008",643,364.800082101806
"166",210.7,211.9,209.5,13,"mean",6,25,1,"skew_normal","paleosols","Cleveland et al., 2008",13,364.800082101806
"167",210.7,211.9,209.5,45,"mean",23,90,1,"skew_normal","paleosols","Cleveland et al., 2008",45,364.800082101806
"168",210.7,211.9,209.5,372,"mean",186,743,1,"skew_normal","paleosols","Cleveland et al., 2008",372,364.800082101806
"169",211.8,214,209.5,1667,"mean",833,3333,1,"skew_normal","paleosols","Cleveland et al., 2008",1667,364.800082101806
"170",211.8,214,209.5,1702,"mean",851,3404,1,"skew_normal","paleosols","Cleveland et al., 2008",1702,364.800082101806
"171",211.8,214,209.5,1596,"mean",798,3192,1,"skew_normal","paleosols","Cleveland et al., 2008",1596,364.800082101806
"172",210.7,211.9,209.5,344,"mean",172,688,1,"skew_normal","paleosols","Cleveland et al., 2008",344,364.800082101806
"173",210.7,211.9,209.5,269,"mean",134,537,1,"skew_normal","paleosols","Cleveland et al., 2008",269,364.800082101806
"174",210.7,211.9,209.5,377,"mean",189,754,1,"skew_normal","paleosols","Cleveland et al., 2008",377,364.800082101806
"175",211.8,214,209.5,1443,"mean",721,2885,1,"skew_normal","paleosols","Cleveland et al., 2008",1443,364.800082101806
"176",211.8,214,209.5,1191,"mean",596,2383,1,"skew_normal","paleosols","Cleveland et al., 2008",1191,364.800082101806
"177",211.8,214,209.5,1349,"mean",674,2697,1,"skew_normal","paleosols","Cleveland et al., 2008",1349,364.800082101806
"178",211.8,214,209.5,1678,"mean",839,3356,1,"skew_normal","paleosols","Cleveland et al., 2008",1678,364.800082101806
"179",211.8,214,209.5,1295,"mean",648,2591,1,"skew_normal","paleosols","Cleveland et al., 2008",1295,364.800082101806
"180",211.8,214,209.5,1516,"mean",758,3032,1,"skew_normal","paleosols","Cleveland et al., 2008",1516,364.800082101806
"181",210.7,211.9,209.5,560,"mean",280,1119,1,"skew_normal","paleosols","Cleveland et al., 2008",560,364.800082101806
"182",211.8,214,209.5,1367,"mean",684,2735,1,"skew_normal","paleosols","Cleveland et al., 2008",1367,364.800082101806
