"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","mu_co2","sigma_co2"
"421",216,NA,NA,2470.2,"mean",1505,3436,1,"normal","paleosols","Schaller et al., 2015",2470.2,364.800082101806
"422",216.2,NA,NA,2767,"mean",1582,3952,1,"normal","paleosols","Schaller et al., 2015",2767,364.800082101806
"423",218.2,NA,NA,3183.266667,"mean",1806,4561,1,"normal","paleosols","Schaller et al., 2015",3183.266667,364.800082101806
"424",218.8,NA,NA,2798.666667,"mean",1647,3950,1,"normal","paleosols","Schaller et al., 2015",2798.666667,364.800082101806
"425",222,NA,NA,2732.066667,"mean",1636,3828,1,"normal","paleosols","Schaller et al., 2015",2732.066667,364.800082101806
"426",222.3,NA,NA,2324.933333,"mean",1413,3237,1,"normal","paleosols","Schaller et al., 2015",2324.933333,364.800082101806
"427",222.4,NA,NA,3022.666667,"mean",1756,4290,1,"normal","paleosols","Schaller et al., 2015",3022.666667,364.800082101806
"428",223.2,NA,NA,2627.333333,"mean",1596,3658,1,"normal","paleosols","Schaller et al., 2015",2627.333333,364.800082101806
"429",224.3,NA,NA,3042.066667,"mean",1805,4279,1,"normal","paleosols","Schaller et al., 2015",3042.066667,364.800082101806
"430",225.8,NA,NA,2547.466667,"mean",1537,3558,1,"normal","paleosols","Schaller et al., 2015",2547.466667,364.800082101806
"431",226.2,NA,NA,3302.4,"mean",1906,4699,1,"normal","paleosols","Schaller et al., 2015",3302.4,364.800082101806
"432",226.6,NA,NA,3182.6,"mean",1875,4491,1,"normal","paleosols","Schaller et al., 2015",3182.6,364.800082101806
"433",227.1,NA,NA,3568.133333,"mean",2055,5081,1,"normal","paleosols","Schaller et al., 2015",3568.133333,364.800082101806
"434",229.3,NA,NA,3319.733333,"mean",1936,4704,1,"normal","paleosols","Schaller et al., 2015",3319.733333,364.800082101806
"435",229.7,NA,NA,2445.6,"mean",1505,3387,1,"normal","paleosols","Schaller et al., 2015",2445.6,364.800082101806
"436",231,NA,NA,2516.4,"mean",1541,3492,1,"normal","paleosols","Schaller et al., 2015",2516.4,364.800082101806
"437",231.4,NA,NA,3230.866667,"mean",1900,4562,1,"normal","paleosols","Schaller et al., 2015",3230.866667,364.800082101806
"438",232,NA,NA,2142.8,"mean",1335,2950,1,"normal","paleosols","Schaller et al., 2015",2142.8,364.800082101806
"439",232.2,NA,NA,2884.2,"mean",1724,4045,1,"normal","paleosols","Schaller et al., 2015",2884.2,364.800082101806
"440",100,NA,NA,746,"mean",373,1492,1,"skew_normal","paleosols","Ludvigson et al., 2015",746,364.800082101806
"441",102.5,NA,NA,886,"mean",443,1772,1,"skew_normal","paleosols","Ludvigson et al., 2015",886,364.800082101806
"442",111.5,NA,NA,996,"mean",498,1992,1,"skew_normal","paleosols","Ludvigson et al., 2015",996,364.800082101806
"443",113.5,NA,NA,1335,"mean",668,2670,1,"skew_normal","paleosols","Ludvigson et al., 2015",1335,364.800082101806
"444",115.5,NA,NA,986,"mean",493,1972,1,"skew_normal","paleosols","Ludvigson et al., 2015",986,364.800082101806
"445",116,NA,NA,1071,"mean",536,2142,1,"skew_normal","paleosols","Ludvigson et al., 2015",1071,364.800082101806
"446",116.5,NA,NA,1190,"mean",595,2380,1,"skew_normal","paleosols","Ludvigson et al., 2015",1190,364.800082101806
"447",119.4,NA,NA,1179,"mean",590,2358,1,"skew_normal","paleosols","Ludvigson et al., 2015",1179,364.800082101806
"448",1,NA,NA,244,"mean",153,403,1,"skew_normal","paleosols","Da et al., 2015",244,364.800082101806
"449",1.1,NA,NA,214,"mean",134,353,1,"skew_normal","paleosols","Da et al., 2015",214,364.800082101806
"450",1.2,NA,NA,335,"mean",210,552,1,"skew_normal","paleosols","Da et al., 2015",335,364.800082101806
"451",1.2,NA,NA,217,"mean",136,357,1,"skew_normal","paleosols","Da et al., 2015",217,364.800082101806
"452",1.2,NA,NA,193,"mean",121,319,1,"skew_normal","paleosols","Da et al., 2015",193,364.800082101806
"453",1.3,NA,NA,141,"mean",88,233,1,"skew_normal","paleosols","Da et al., 2015",141,364.800082101806
"454",1.3,NA,NA,157,"mean",98,258,1,"skew_normal","paleosols","Da et al., 2015",157,364.800082101806
"455",1.3,NA,NA,196,"mean",123,324,1,"skew_normal","paleosols","Da et al., 2015",196,364.800082101806
"456",1.4,NA,NA,194,"mean",122,321,1,"skew_normal","paleosols","Da et al., 2015",194,364.800082101806
"457",1.4,NA,NA,192,"mean",120,317,1,"skew_normal","paleosols","Da et al., 2015",192,364.800082101806
"458",1.4,NA,NA,192,"mean",120,316,1,"skew_normal","paleosols","Da et al., 2015",192,364.800082101806
"459",1.4,NA,NA,194,"mean",121,320,1,"skew_normal","paleosols","Da et al., 2015",194,364.800082101806
"460",1.5,NA,NA,239,"mean",150,394,1,"skew_normal","paleosols","Da et al., 2015",239,364.800082101806
"461",1.5,NA,NA,210,"mean",132,347,1,"skew_normal","paleosols","Da et al., 2015",210,364.800082101806
"462",1.5,NA,NA,303,"mean",190,500,1,"skew_normal","paleosols","Da et al., 2015",303,364.800082101806
"463",1.6,NA,NA,282,"mean",177,465,1,"skew_normal","paleosols","Da et al., 2015",282,364.800082101806
"464",1.6,NA,NA,230,"mean",144,380,1,"skew_normal","paleosols","Da et al., 2015",230,364.800082101806
"465",1.6,NA,NA,247,"mean",154,407,1,"skew_normal","paleosols","Da et al., 2015",247,364.800082101806
"466",1.6,NA,NA,207,"mean",130,342,1,"skew_normal","paleosols","Da et al., 2015",207,364.800082101806
"467",1.7,NA,NA,239,"mean",150,394,1,"skew_normal","paleosols","Da et al., 2015",239,364.800082101806
"468",1.8,NA,NA,230,"mean",144,379,1,"skew_normal","paleosols","Da et al., 2015",230,364.800082101806
"469",1.9,NA,NA,307,"mean",192,507,1,"skew_normal","paleosols","Da et al., 2015",307,364.800082101806
"470",1.9,NA,NA,252,"mean",158,415,1,"skew_normal","paleosols","Da et al., 2015",252,364.800082101806
"471",2.1,NA,NA,299,"mean",187,494,1,"skew_normal","paleosols","Da et al., 2015",299,364.800082101806
"472",2.1,NA,NA,300,"mean",188,495,1,"skew_normal","paleosols","Da et al., 2015",300,364.800082101806
"473",2.1,NA,NA,278,"mean",174,458,1,"skew_normal","paleosols","Da et al., 2015",278,364.800082101806
"474",2.2,NA,NA,338,"mean",212,557,1,"skew_normal","paleosols","Da et al., 2015",338,364.800082101806
"475",2.3,NA,NA,387,"mean",243,639,1,"skew_normal","paleosols","Da et al., 2015",387,364.800082101806
"476",2.3,NA,NA,342,"mean",214,564,1,"skew_normal","paleosols","Da et al., 2015",342,364.800082101806
"477",2.3,NA,NA,405,"mean",254,669,1,"skew_normal","paleosols","Da et al., 2015",405,364.800082101806
"478",2.6,NA,NA,400,"mean",251,660,1,"skew_normal","paleosols","Da et al., 2015",400,364.800082101806
"479",2.6,NA,NA,385,"mean",241,636,1,"skew_normal","paleosols","Da et al., 2015",385,364.800082101806
"480",221.9,NA,NA,6,"mean",3,12,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",6,364.800082101806
"481",220.1,NA,NA,215,"mean",108,430,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",215,364.800082101806
"482",214.7,NA,NA,355,"mean",178,710,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",355,364.800082101806
"483",213.5,NA,NA,443,"mean",222,886,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",443,364.800082101806
"484",213.3,NA,NA,500,"mean",250,1000,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",500,364.800082101806
"485",213.2,NA,NA,546,"mean",273,1092,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",546,364.800082101806
"486",213.1,NA,NA,501,"mean",251,1002,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",501,364.800082101806
"487",213,NA,NA,523,"mean",262,1046,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",523,364.800082101806
"488",212.7,NA,NA,170,"mean",85,340,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",170,364.800082101806
"489",212.6,NA,NA,738,"mean",369,1476,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",738,364.800082101806
"490",212.5,NA,NA,1463,"mean",732,2926,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1463,364.800082101806
"491",212.4,NA,NA,522,"mean",261,1044,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",522,364.800082101806
"492",212.2,NA,NA,713,"mean",357,1426,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",713,364.800082101806
"493",212.1,NA,NA,708,"mean",354,1416,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",708,364.800082101806
"494",212,NA,NA,10,"mean",5,20,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",10,364.800082101806
"495",211.7,NA,NA,683,"mean",342,1366,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",683,364.800082101806
"496",211.5,NA,NA,643,"mean",322,1286,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",643,364.800082101806
"497",211.4,NA,NA,749,"mean",375,1498,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",749,364.800082101806
"498",211.3,NA,NA,128,"mean",64,256,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",128,364.800082101806
"499",211.2,NA,NA,182,"mean",91,364,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",182,364.800082101806
"500",211.2,NA,NA,616,"mean",308,1232,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",616,364.800082101806
"501",211.1,NA,NA,726,"mean",363,1452,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",726,364.800082101806
"504",210.4,NA,NA,219,"mean",110,438,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",219,364.800082101806
"505",210.1,NA,NA,420,"mean",210,840,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",420,364.800082101806
"506",209.9,NA,NA,1080,"mean",540,2160,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1080,364.800082101806
"507",209.9,NA,NA,777,"mean",389,1554,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",777,364.800082101806
"508",209.7,NA,NA,665,"mean",333,1330,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",665,364.800082101806
"509",209.6,NA,NA,529,"mean",265,1058,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",529,364.800082101806
"510",209.5,NA,NA,1220,"mean",610,2440,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1220,364.800082101806
"511",209.3,NA,NA,1025,"mean",513,2050,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1025,364.800082101806
"512",209.2,NA,NA,1406,"mean",703,2812,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1406,364.800082101806
"513",209,NA,NA,1063,"mean",532,2126,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1063,364.800082101806
"514",208.6,NA,NA,1869,"mean",935,3738,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1869,364.800082101806
"515",208.4,NA,NA,904,"mean",452,1808,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",904,364.800082101806
"516",208.2,NA,NA,1179,"mean",590,2358,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1179,364.800082101806
"517",208,NA,NA,964,"mean",482,1928,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",964,364.800082101806
"518",207.4,NA,NA,1978,"mean",989,3956,1,"skew_normal","paleosols","Nordt et al., 2015 (expands and refines Atchley et al., 2013)",1978,364.800082101806
"519",205.15,209,201.3,1626.42,"mean",813,3253,1,"skew_normal","paleosols","Whiteside et al., 2015",1626.42,364.800082101806
"520",205.15,209,201.3,1233.546667,"mean",617,2467,1,"skew_normal","paleosols","Whiteside et al., 2015",1233.546667,364.800082101806
"521",205.15,209,201.3,1293.693333,"mean",647,2587,1,"skew_normal","paleosols","Whiteside et al., 2015",1293.693333,364.800082101806
"522",211.9,212.6,211.2,749,"mean",374,1498,1,"skew_normal","paleosols","Whiteside et al., 2015",749,364.800082101806
"523",211.9,212.6,211.2,786,"mean",393,1573,1,"skew_normal","paleosols","Whiteside et al., 2015",786,364.800082101806
"524",34.2,NA,NA,399,"mean",127,672,1,"normal","paleosols","Kohn et al., 2015",399,364.800082101806
"525",0.2,NA,NA,289,"mean",263,315,1,"normal","alkenones","Seki et al., 2010",289,364.800082101806
"526",0.3,NA,NA,246,"mean",224,268,1,"normal","alkenones","Seki et al., 2010",246,364.800082101806
"527",0.5,NA,NA,255,"mean",232,278,1,"normal","alkenones","Seki et al., 2010",255,364.800082101806
"528",0.9,NA,NA,243,"mean",221,264,1,"normal","alkenones","Seki et al., 2010",243,364.800082101806
"529",1,NA,NA,252,"mean",230,275,1,"normal","alkenones","Seki et al., 2010",252,364.800082101806
"530",1.2,NA,NA,266,"mean",243,290,1,"normal","alkenones","Seki et al., 2010",266,364.800082101806
"531",1.3,NA,NA,271,"mean",246,295,1,"normal","alkenones","Seki et al., 2010",271,364.800082101806
"532",1.5,NA,NA,277,"mean",252,302,1,"normal","alkenones","Seki et al., 2010",277,364.800082101806
"533",1.8,NA,NA,270,"mean",246,295,1,"normal","alkenones","Seki et al., 2010",270,364.800082101806
"534",2.1,NA,NA,254,"mean",231,277,1,"normal","alkenones","Seki et al., 2010",254,364.800082101806
"535",2.3,NA,NA,273,"mean",249,298,1,"normal","alkenones","Seki et al., 2010",273,364.800082101806
"536",2.6,NA,NA,267,"mean",243,291,1,"normal","alkenones","Seki et al., 2010",267,364.800082101806
"537",2.8,NA,NA,299,"mean",272,326,1,"normal","alkenones","Seki et al., 2010",299,364.800082101806
"538",2.8,NA,NA,303,"mean",276,331,1,"normal","alkenones","Seki et al., 2010",303,364.800082101806
"539",2.9,NA,NA,323,"mean",294,352,1,"normal","alkenones","Seki et al., 2010",323,364.800082101806
"540",2.9,NA,NA,333,"mean",303,363,1,"normal","alkenones","Seki et al., 2010",333,364.800082101806
"541",3,NA,NA,372,"mean",338,405,1,"normal","alkenones","Seki et al., 2010",372,364.800082101806
"542",3.1,NA,NA,353,"mean",321,385,1,"normal","alkenones","Seki et al., 2010",353,364.800082101806
"543",3.1,NA,NA,344,"mean",313,375,1,"normal","alkenones","Seki et al., 2010",344,364.800082101806
"544",3.2,NA,NA,335,"mean",305,365,1,"normal","alkenones","Seki et al., 2010",335,364.800082101806
"545",3.2,NA,NA,341,"mean",310,372,1,"normal","alkenones","Seki et al., 2010",341,364.800082101806
"546",3.6,NA,NA,362,"mean",329,395,1,"normal","alkenones","Seki et al., 2010",362,364.800082101806
"547",3.8,NA,NA,357,"mean",325,389,1,"normal","alkenones","Seki et al., 2010",357,364.800082101806
"548",3.9,NA,NA,338,"mean",307,368,1,"normal","alkenones","Seki et al., 2010",338,364.800082101806
"549",4,NA,NA,329,"mean",300,359,1,"normal","alkenones","Seki et al., 2010",329,364.800082101806
"550",4.1,NA,NA,354,"mean",322,385,1,"normal","alkenones","Seki et al., 2010",354,364.800082101806
"551",4.3,NA,NA,381,"mean",348,414,1,"normal","alkenones","Seki et al., 2010",381,364.800082101806
"552",4.4,NA,NA,351,"mean",320,382,1,"normal","alkenones","Seki et al., 2010",351,364.800082101806
"553",4.6,NA,NA,370,"mean",337,402,1,"normal","alkenones","Seki et al., 2010",370,364.800082101806
"554",4.8,NA,NA,351,"mean",320,382,1,"normal","alkenones","Seki et al., 2010",351,364.800082101806
"555",4.9,NA,NA,383,"mean",350,417,1,"normal","alkenones","Seki et al., 2010",383,364.800082101806
"556",4.9,NA,NA,422,"mean",385,459,1,"normal","alkenones","Seki et al., 2010",422,364.800082101806
"557",5,NA,NA,448,"mean",409,488,1,"normal","alkenones","Seki et al., 2010",448,364.800082101806
"558",5.2,NA,NA,457,"mean",417,497,1,"normal","alkenones","Seki et al., 2010",457,364.800082101806
"559",0.02,NA,NA,318,"mean",283,402,1,"skew_normal","alkenones","Zhang et al., 2013",318,364.800082101806
"560",0.03,NA,NA,305,"mean",273,384,1,"skew_normal","alkenones","Zhang et al., 2013",305,364.800082101806
"561",0.03,NA,NA,322,"mean",284,411,1,"skew_normal","alkenones","Zhang et al., 2013",322,364.800082101806
"562",0.04,NA,NA,308,"mean",268,400,1,"skew_normal","alkenones","Zhang et al., 2013",308,364.800082101806
"563",0.06,NA,NA,312,"mean",279,393,1,"skew_normal","alkenones","Zhang et al., 2013",312,364.800082101806
"564",0.07,NA,NA,338,"mean",304,422,1,"skew_normal","alkenones","Zhang et al., 2013",338,364.800082101806
"565",0.09,NA,NA,334,"mean",293,429,1,"skew_normal","alkenones","Zhang et al., 2013",334,364.800082101806
"566",0.11,NA,NA,332,"mean",290,429,1,"skew_normal","alkenones","Zhang et al., 2013",332,364.800082101806
"567",0.11,NA,NA,336,"mean",293,435,1,"skew_normal","alkenones","Zhang et al., 2013",336,364.800082101806
"568",0.13,NA,NA,336,"mean",305,418,1,"skew_normal","alkenones","Zhang et al., 2013",336,364.800082101806
"569",0.15,NA,NA,315,"mean",277,403,1,"skew_normal","alkenones","Zhang et al., 2013",315,364.800082101806
"570",0.16,NA,NA,316,"mean",286,395,1,"skew_normal","alkenones","Zhang et al., 2013",316,364.800082101806
"571",0.17,NA,NA,330,"mean",286,429,1,"skew_normal","alkenones","Zhang et al., 2013",330,364.800082101806
"572",0.31,NA,NA,319,"mean",275,418,1,"skew_normal","alkenones","Zhang et al., 2013",319,364.800082101806
"573",0.43,NA,NA,285,"mean",252,362,1,"skew_normal","alkenones","Zhang et al., 2013",285,364.800082101806
"574",0.58,NA,NA,302,"mean",261,393,1,"skew_normal","alkenones","Zhang et al., 2013",302,364.800082101806
"575",0.93,NA,NA,291,"mean",255,374,1,"skew_normal","alkenones","Zhang et al., 2013",291,364.800082101806
"576",1.05,NA,NA,301,"mean",261,393,1,"skew_normal","alkenones","Zhang et al., 2013",301,364.800082101806
"577",1.19,NA,NA,322,"mean",281,416,1,"skew_normal","alkenones","Zhang et al., 2013",322,364.800082101806
"578",1.21,NA,NA,311,"mean",263,414,1,"skew_normal","alkenones","Zhang et al., 2013",311,364.800082101806
"579",1.22,NA,NA,317,"mean",278,409,1,"skew_normal","alkenones","Zhang et al., 2013",317,364.800082101806
"580",1.23,NA,NA,322,"mean",278,422,1,"skew_normal","alkenones","Zhang et al., 2013",322,364.800082101806
"581",1.25,NA,NA,291,"mean",257,372,1,"skew_normal","alkenones","Zhang et al., 2013",291,364.800082101806
"582",1.27,NA,NA,309,"mean",257,416,1,"skew_normal","alkenones","Zhang et al., 2013",309,364.800082101806
"583",1.28,NA,NA,298,"mean",263,382,1,"skew_normal","alkenones","Zhang et al., 2013",298,364.800082101806
"584",1.35,NA,NA,326,"mean",276,434,1,"skew_normal","alkenones","Zhang et al., 2013",326,364.800082101806
"585",1.64,NA,NA,298,"mean",255,392,1,"skew_normal","alkenones","Zhang et al., 2013",298,364.800082101806
"586",1.73,NA,NA,312,"mean",271,405,1,"skew_normal","alkenones","Zhang et al., 2013",312,364.800082101806
"587",1.97,NA,NA,309,"mean",263,408,1,"skew_normal","alkenones","Zhang et al., 2013",309,364.800082101806
"588",2.09,NA,NA,329,"mean",275,442,1,"skew_normal","alkenones","Zhang et al., 2013",329,364.800082101806
"589",2.19,NA,NA,331,"mean",279,441,1,"skew_normal","alkenones","Zhang et al., 2013",331,364.800082101806
"590",2.3,NA,NA,337,"mean",285,450,1,"skew_normal","alkenones","Zhang et al., 2013",337,364.800082101806
"591",2.4,NA,NA,344,"mean",288,461,1,"skew_normal","alkenones","Zhang et al., 2013",344,364.800082101806
"592",2.59,NA,NA,333,"mean",280,446,1,"skew_normal","alkenones","Zhang et al., 2013",333,364.800082101806
"593",2.6,NA,NA,305,"mean",255,410,1,"skew_normal","alkenones","Zhang et al., 2013",305,364.800082101806
"594",2.72,NA,NA,317,"mean",266,424,1,"skew_normal","alkenones","Zhang et al., 2013",317,364.800082101806
"595",2.94,NA,NA,307,"mean",261,407,1,"skew_normal","alkenones","Zhang et al., 2013",307,364.800082101806
"596",3.08,NA,NA,338,"mean",290,444,1,"skew_normal","alkenones","Zhang et al., 2013",338,364.800082101806
"597",3.13,NA,NA,318,"mean",265,428,1,"skew_normal","alkenones","Zhang et al., 2013",318,364.800082101806
"598",3.32,NA,NA,336,"mean",291,437,1,"skew_normal","alkenones","Zhang et al., 2013",336,364.800082101806
"599",3.36,NA,NA,321,"mean",278,417,1,"skew_normal","alkenones","Zhang et al., 2013",321,364.800082101806
"600",3.46,NA,NA,339,"mean",299,434,1,"skew_normal","alkenones","Zhang et al., 2013",339,364.800082101806
"601",3.51,NA,NA,393,"mean",340,512,1,"skew_normal","alkenones","Zhang et al., 2013",393,364.800082101806
"602",3.52,NA,NA,346,"mean",303,445,1,"skew_normal","alkenones","Zhang et al., 2013",346,364.800082101806
"603",3.67,NA,NA,346,"mean",309,437,1,"skew_normal","alkenones","Zhang et al., 2013",346,364.800082101806
"604",3.85,NA,NA,327,"mean",291,414,1,"skew_normal","alkenones","Zhang et al., 2013",327,364.800082101806
"605",3.99,NA,NA,334,"mean",295,427,1,"skew_normal","alkenones","Zhang et al., 2013",334,364.800082101806
"606",4.11,NA,NA,348,"mean",307,445,1,"skew_normal","alkenones","Zhang et al., 2013",348,364.800082101806
"607",4.45,NA,NA,379,"mean",345,471,1,"skew_normal","alkenones","Zhang et al., 2013",379,364.800082101806
"608",4.78,NA,NA,361,"mean",332,443,1,"skew_normal","alkenones","Zhang et al., 2013",361,364.800082101806
"609",7.15,NA,NA,379,"mean",323,500,1,"skew_normal","alkenones","Zhang et al., 2013",379,364.800082101806
"610",14.1,NA,NA,341,"mean",311,421,1,"skew_normal","alkenones","Zhang et al., 2013",341,364.800082101806
"611",14.74,NA,NA,430,"mean",388,539,1,"skew_normal","alkenones","Zhang et al., 2013",430,364.800082101806
"612",15.84,NA,NA,402,"mean",375,486,1,"skew_normal","alkenones","Zhang et al., 2013",402,364.800082101806
"613",16.82,NA,NA,401,"mean",370,490,1,"skew_normal","alkenones","Zhang et al., 2013",401,364.800082101806
"614",18.26,NA,NA,412,"mean",384,499,1,"skew_normal","alkenones","Zhang et al., 2013",412,364.800082101806
"615",20.3,NA,NA,358,"mean",332,435,1,"skew_normal","alkenones","Zhang et al., 2013",358,364.800082101806
"616",22.94,NA,NA,462,"mean",430,560,1,"skew_normal","alkenones","Zhang et al., 2013",462,364.800082101806
"617",23.48,NA,NA,410,"mean",383,497,1,"skew_normal","alkenones","Zhang et al., 2013",410,364.800082101806
"618",25.3,NA,NA,416,"mean",386,506,1,"skew_normal","alkenones","Zhang et al., 2013",416,364.800082101806
"619",26.57,NA,NA,656,"mean",588,825,1,"skew_normal","alkenones","Zhang et al., 2013",656,364.800082101806
"620",27.85,NA,NA,712,"mean",626,914,1,"skew_normal","alkenones","Zhang et al., 2013",712,364.800082101806
"621",28.78,NA,NA,730,"mean",662,910,1,"skew_normal","alkenones","Zhang et al., 2013",730,364.800082101806
"622",29.21,NA,NA,854,"mean",792,1040,1,"skew_normal","alkenones","Zhang et al., 2013",854,364.800082101806
"623",29.57,NA,NA,972,"mean",905,1179,1,"skew_normal","alkenones","Zhang et al., 2013",972,364.800082101806
"624",29.64,NA,NA,895,"mean",818,1106,1,"skew_normal","alkenones","Zhang et al., 2013",895,364.800082101806
"625",30.62,NA,NA,765,"mean",709,932,1,"skew_normal","alkenones","Zhang et al., 2013",765,364.800082101806
"626",31.27,NA,NA,725,"mean",664,894,1,"skew_normal","alkenones","Zhang et al., 2013",725,364.800082101806
"627",32.04,NA,NA,743,"mean",688,906,1,"skew_normal","alkenones","Zhang et al., 2013",743,364.800082101806
"628",32.58,NA,NA,756,"mean",698,925,1,"skew_normal","alkenones","Zhang et al., 2013",756,364.800082101806
"629",32.83,NA,NA,740,"mean",671,923,1,"skew_normal","alkenones","Zhang et al., 2013",740,364.800082101806
"630",32.91,NA,NA,723,"mean",654,904,1,"skew_normal","alkenones","Zhang et al., 2013",723,364.800082101806
"631",32.97,NA,NA,727,"mean",653,912,1,"skew_normal","alkenones","Zhang et al., 2013",727,364.800082101806
"632",33.45,NA,NA,767,"mean",698,950,1,"skew_normal","alkenones","Zhang et al., 2013",767,364.800082101806
"633",33.57,NA,NA,671,"mean",612,832,1,"skew_normal","alkenones","Zhang et al., 2013",671,364.800082101806
"634",33.69,NA,NA,930,"mean",792,1234,1,"skew_normal","alkenones","Zhang et al., 2013",930,364.800082101806
"635",34.69,NA,NA,1038,"mean",953,1278,1,"skew_normal","alkenones","Zhang et al., 2013",1038,364.800082101806
"636",35.29,NA,NA,879,"mean",813,1073,1,"skew_normal","alkenones","Zhang et al., 2013",879,364.800082101806
"637",35.56,NA,NA,919,"mean",825,1155,1,"skew_normal","alkenones","Zhang et al., 2013",919,364.800082101806
"638",35.86,NA,NA,947,"mean",881,1150,1,"skew_normal","alkenones","Zhang et al., 2013",947,364.800082101806
"639",36.09,NA,NA,1132,"mean",1032,1402,1,"skew_normal","alkenones","Zhang et al., 2013",1132,364.800082101806
"640",36.48,NA,NA,2622,"mean",2417,3212,1,"skew_normal","alkenones","Zhang et al., 2013",2622,364.800082101806
"641",36.81,NA,NA,1247,"mean",1087,1617,1,"skew_normal","alkenones","Zhang et al., 2013",1247,364.800082101806
"642",37.1,NA,NA,939,"mean",877,1136,1,"skew_normal","alkenones","Zhang et al., 2013",939,364.800082101806
"643",37.43,NA,NA,1042,"mean",938,1309,1,"skew_normal","alkenones","Zhang et al., 2013",1042,364.800082101806
"644",38.55,NA,NA,798,"mean",737,975,1,"skew_normal","alkenones","Zhang et al., 2013",798,364.800082101806
"645",38.25,NA,NA,898,"mean",802,1137,1,"skew_normal","alkenones","Zhang et al., 2013",898,364.800082101806
"646",38.62,NA,NA,863,"mean",754,1116,1,"skew_normal","alkenones","Zhang et al., 2013",863,364.800082101806
"647",12.81,NA,NA,283,"mean",261,306,1,"normal","alkenones","Badger et al., 2013a",283,364.800082101806
"648",13.6,NA,NA,271,"mean",250,291,1,"normal","alkenones","Badger et al., 2013a",271,364.800082101806
"649",13.64,NA,NA,303,"mean",280,327,1,"normal","alkenones","Badger et al., 2013a",303,364.800082101806
"650",13.65,NA,NA,306,"mean",282,330,1,"normal","alkenones","Badger et al., 2013a",306,364.800082101806
"651",13.66,NA,NA,305,"mean",282,328,1,"normal","alkenones","Badger et al., 2013a",305,364.800082101806
"652",13.67,NA,NA,308,"mean",284,331,1,"normal","alkenones","Badger et al., 2013a",308,364.800082101806
"653",13.67,NA,NA,289,"mean",267,312,1,"normal","alkenones","Badger et al., 2013a",289,364.800082101806
"654",13.68,NA,NA,261,"mean",241,282,1,"normal","alkenones","Badger et al., 2013a",261,364.800082101806
"655",13.69,NA,NA,294,"mean",272,317,1,"normal","alkenones","Badger et al., 2013a",294,364.800082101806
